method,rank_cap,n,operation,metric,rows,signal_rms,mae,nrmse,q95_error,eligible_0.0002,signacc_0.0002,eligible_0.001,signacc_0.001,eligible_0.002,signacc_0.002,eligible_0.005,signacc_0.005
B0_PERSISTENCE,0,exact,1,pX,1440,0.0002693775595920124,0.00017272651723244833,1.0,0.0005806580172005649,504,0.0,2,0.0,0,,0,
B0_PERSISTENCE,0,exact,1,v,1440,0.00128962732326676,0.0008592393676064726,1.0,0.00286919917006383,912,0.0,534,0.0,207,0.0,0,
B0_PERSISTENCE,0,exact,2,pX,1440,8.143935976970202e-05,3.8804576857461555e-05,1.0,0.000187336164036925,62,0.0,0,,0,,0,
B0_PERSISTENCE,0,exact,2,v,1440,0.00045736331473844035,0.0002572928377528118,1.0,0.0009469164653269096,555,0.0,60,0.0,6,0.0,0,
B0_PERSISTENCE,0,64,1,pX,4320,0.0002693775595920124,0.00017272651723244833,1.0,0.000580658017200565,1512,0.0,6,0.0,0,,0,
B0_PERSISTENCE,0,64,1,v,4320,0.0012896273232667602,0.0008592393676064727,1.0,0.00286919917006383,2736,0.0,1602,0.0,621,0.0,0,
B0_PERSISTENCE,0,64,2,pX,4320,8.143935976970202e-05,3.8804576857461555e-05,1.0,0.00018733616403692507,186,0.0,0,,0,,0,
B0_PERSISTENCE,0,64,2,v,4320,0.00045736331473844035,0.0002572928377528118,1.0,0.0009469164653269119,1665,0.0,180,0.0,18,0.0,0,
B0_PERSISTENCE,0,256,1,pX,7200,0.0002693775595920124,0.00017272651723244833,1.0,0.0005806580172005647,2520,0.0,10,0.0,0,,0,
B0_PERSISTENCE,0,256,1,v,7200,0.00128962732326676,0.0008592393676064727,1.0,0.0028691991700638296,4560,0.0,2670,0.0,1035,0.0,0,
B0_PERSISTENCE,0,256,2,pX,7200,8.143935976970202e-05,3.880457685746155e-05,1.0,0.0001873361640369247,310,0.0,0,,0,,0,
B0_PERSISTENCE,0,256,2,v,7200,0.00045736331473844035,0.0002572928377528118,1.0,0.0009469164653269028,2775,0.0,300,0.0,30,0.0,0,
B1_LOG_RIDGE,0,exact,1,pX,1440,0.0002693775595920124,0.0002241098295134403,1.0438644350401494,0.0005759214064738324,504,0.7380952380952381,2,0.0,0,,0,
B1_LOG_RIDGE,0,exact,1,v,1440,0.00128962732326676,0.0005542543004986187,0.5742489622809135,0.0016904450792246848,912,0.9956140350877193,534,1.0,207,1.0,0,
B1_LOG_RIDGE,0,exact,2,pX,1440,8.143935976970202e-05,5.906161365630394e-05,1.1594166372279675,0.0002112402217362485,62,0.11290322580645161,0,,0,,0,
B1_LOG_RIDGE,0,exact,2,v,1440,0.00045736331473844035,0.0002223240298175067,0.6370132252605732,0.0006475132573615201,555,1.0,60,1.0,6,1.0,0,
B1_LOG_RIDGE,0,64,1,pX,4320,0.0002693775595920124,0.0007019320423984806,3.9727833120177984,0.002350056833562016,1512,0.4107142857142857,6,0.5,0,,0,
B1_LOG_RIDGE,0,64,1,v,4320,0.0012896273232667602,0.0008183085334518528,0.8890945767738431,0.0023987759448366053,2736,0.9385964912280702,1602,0.9375780274656679,621,0.9210950080515298,0,
B1_LOG_RIDGE,0,64,2,pX,4320,8.143935976970202e-05,0.0003816460143211209,6.27715059649791,0.0009537378735617,186,0.5053763440860215,0,,0,,0,
B1_LOG_RIDGE,0,64,2,v,4320,0.00045736331473844035,0.0004045641340555255,1.118454593717272,0.0010880709633287,1665,0.7987987987987988,180,0.8722222222222222,18,0.9444444444444444,0,
B3_UPDATE_PCA,1,exact,1,pX,1440,0.0002693775595920124,0.00012305933275526634,0.728829860793628,0.0004220064182998283,504,0.9226190476190477,2,1.0,0,,0,
B3_UPDATE_PCA,1,exact,1,v,1440,0.00128962732326676,0.0009423238355995983,1.133017687900276,0.003225459382900615,912,0.3782894736842105,534,0.2247191011235955,207,0.06280193236714976,0,
B3_UPDATE_PCA,1,exact,2,pX,1440,8.143935976970202e-05,2.8164769754703243e-05,0.6896934710154853,0.00014284676235076365,62,0.967741935483871,0,,0,,0,
B3_UPDATE_PCA,1,exact,2,v,1440,0.00045736331473844035,0.00025813653561362605,1.0374667615466704,0.0010623744869416424,555,0.5459459459459459,60,0.43333333333333335,6,0.0,0,
B3_UPDATE_PCA,1,64,1,pX,4320,0.0002693775595920124,0.0005282026974877752,4.164754917518106,0.0023519355040886513,1512,0.5317460317460317,6,0.6666666666666666,0,,0,
B3_UPDATE_PCA,1,64,1,v,4320,0.0012896273232667602,0.0010263850541104868,1.3865796731933915,0.00403655112067956,2736,0.4762426900584795,1602,0.42696629213483145,621,0.392914653784219,0,
