seed,arm,anchor,n,abs_cosine_to_exact_basis,angle_deg
301,X_BASE,8,64,0.1991266412070999,78.51410795784146
301,X_BASE,8,16,0.11699789533711757,83.28112595322983
301,X_BASE,8,256,0.16366147073280657,80.58051459101596
301,X_BASE,24,64,0.012839646468683866,89.26432223241385
301,X_BASE,24,16,0.24522829737375684,75.80467420962088
301,X_BASE,24,256,0.23022731563840126,76.68954486629141
301,X_BASE,40,64,0.6576060833255513,48.882446355152304
301,X_BASE,40,16,0.510873342167454,59.277979849875635
301,X_BASE,40,256,0.6251660521341442,51.305623723584695
301,X_VALID,8,64,0.10785710487635002,83.808198260778
301,X_VALID,8,16,0.025757874320500182,88.52401927049651
301,X_VALID,8,256,0.15036886142127362,81.35169678443843
301,X_VALID,24,64,0.5568252437880926,56.16347471550116
301,X_VALID,24,16,0.42655582834905487,64.75081792333548
301,X_VALID,24,256,0.4975077868898441,60.16474697105007
301,X_VALID,40,64,0.2035449897631944,78.25566261905333
301,X_VALID,40,16,0.19158865618993037,78.95448910912391
301,X_VALID,40,256,0.29452637113000557,72.87086130779163
302,X_BASE,8,64,0.04446375192651,87.45157448551683
302,X_BASE,8,16,0.13882840000779276,82.01994351601952
302,X_BASE,8,256,0.09637434071633416,84.46957327288472
302,X_BASE,24,64,0.39900257719475857,66.48416044101839
302,X_BASE,24,16,0.29053574397703597,73.1099670499957
302,X_BASE,24,256,0.31881064449470975,71.40898704887081
302,X_BASE,40,64,0.47472048004528455,61.65884792607748
302,X_BASE,40,16,0.506026509082333,59.600481942599124
302,X_BASE,40,256,0.13246030067437056,82.38821309164037
302,X_VALID,8,64,0.02890857964886691,88.34342960544787
302,X_VALID,8,16,0.0432883173282142,87.51898685024693
302,X_VALID,8,256,0.20760256544584488,78.01810665853382
302,X_VALID,24,64,0.19505334422338097,78.75216017058841
302,X_VALID,24,16,0.036530304044820563,87.90650196174775
302,X_VALID,24,256,0.1409406433846283,81.89771912927532
302,X_VALID,40,64,0.05142561361711193,87.05222912993084
302,X_VALID,40,16,0.030488133593962147,88.25288788407656
302,X_VALID,40,256,0.21588629647415342,77.53247044489716
303,X_BASE,8,64,0.18657280170305718,79.24715600742503
303,X_BASE,8,16,0.1005112741293236,84.23138733437592
303,X_BASE,8,256,0.14900215876164555,81.43089536356116
303,X_BASE,24,64,0.2266128357993597,76.90226314858225
303,X_BASE,24,16,0.2309286555881282,76.6482482615952
303,X_BASE,24,256,0.18801109537026264,79.16326330177488
303,X_BASE,40,64,0.069134640813398,86.03571462736836
303,X_BASE,40,16,0.2861754878420911,73.37087404381548
303,X_BASE,40,256,0.25015084454415115,75.5135614347494
303,X_VALID,8,64,0.07842319400780043,85.50206337481715
303,X_VALID,8,16,0.022127734521748058,88.73207071658845
303,X_VALID,8,256,0.09545185718646558,84.52267249048118
303,X_VALID,24,64,0.061545964610499736,86.47144594793063
303,X_VALID,24,16,0.02271451423903979,88.69844226111096
303,X_VALID,24,256,0.19309075113369806,78.86678787716085
303,X_VALID,40,64,0.023941165624715627,88.62814117825197
303,X_VALID,40,16,0.015296075668596736,89.1235652422475
303,X_VALID,40,256,0.010635829346873543,89.39060037713233
304,X_BASE,8,64,0.2045453635176668,78.19711363785389
304,X_BASE,8,16,0.16723805242091377,80.37272776093312
