configuration_id,target,population,seed,method,observation,n,rank,alpha,eta,fit_banks,stage,seed_count,actual_rank_min,actual_rank_max,k_min,k_max,predicted_difference_norm,pX_error_ss,pX_truth_ss,pX_nrmse,pX_error_q95,pX_mae,v_error_ss,v_truth_ss,v_nrmse,v_error_q95,v_mae,event_error_ss,event_truth_ss,event_nrmse,case_count,event_element_count,event_mae,pX_worst_group_index_by_error_q95,pX_worst_group_error_q95,pX_worst_group_mae,v_worst_group_index_by_error_q95,v_worst_group_error_q95,v_worst_group_mae
C2|EXACT|0|FULL|1e-05|0.01|1,joint_1_minus_joint_0,all,201,C2,EXACT,0,FULL,1e-05,0.01,1,N2A,1,0,2,0,2,0.07312340594437113,3.5442058232462705e-06,7.108421463413928e-06,0.7061108463952025,0.00040995471442452266,8.336065649207624e-05,3.460583974636187e-05,0.00023194308277921423,0.3862637776750753,0.0011363944268301441,0.000284683837720515,0.004271277095988045,0.015642207484607474,0.5225524067254675,24,6912,0.00037119931756783315,2,0.00043982452894954097,8.913612474834673e-05,3,0.0011177637939805112,0.00028947961044645547
C2|EXACT|0|FULL|1e-05|0.01|1,joint_1_minus_joint_0,active,201,C2,EXACT,0,FULL,1e-05,0.01,1,N2A,1,1,2,1,2,0.07312340594437113,3.519592301278415e-06,7.083807941446073e-06,0.7048761084714814,0.0004419665047440427,0.0001211104824252509,3.3962026427233046e-05,0.0002312992694600854,0.3831860298579427,0.0012513280311949413,0.00040660285072664624,0.004228044172001669,0.0155989745606211,0.5206210611658958,16,4608,0.0005373274428410141,2,0.00047819993025472753,0.0001299827744698461,3,0.0011998241880315371,0.0004111544253050574
C2|EXACT|0|FULL|1e-05|0.01|1,no_x_off_1_minus_joint_0,all,201,C2,EXACT,0,FULL,1e-05,0.01,1,N2A,1,0,2,0,2,0.021654170376631244,5.490572069695167e-07,1.1446248184163172e-06,0.6925915986229082,0.00017605921628392981,2.7175160948935088e-05,7.425697027568935e-06,3.3530156427105385e-05,0.4705988083651542,0.0005059754039244221,0.00011816090279842289,0.0007404590405635277,0.0022690278812983054,0.5712557753328872,24,6912,0.0001290877518000334,2,0.00016843395284334362,2.866853061788832e-05,5,0.0005252038971599446,0.00011820234672722182
C2|EXACT|0|FULL|1e-05|0.01|1,joint_1_minus_no_x_off_1,all,201,C2,EXACT,0,FULL,1e-05,0.01,1,N2A,1,0,2,0,2,0.06434997068875511,1.8911048234996156e-06,3.894972804236816e-06,0.6967958996203717,0.0002919624478176816,5.618549554314117e-05,1.6381893553891105e-05,0.00014050814077595675,0.34145329362775995,0.0008389983148742209,0.00016652293492209206,0.0021719327958223578,0.009321893892012153,0.48269312585147106,24,6912,0.0002431712863175838,3,0.0002954571444778855,6.140482128649194e-05,3,0.0008453988445772078,0.00016814838575805868
C2|EXACT|0|FULL|1e-05|0.01|1,joint_1_minus_no_x_off_1,active,201,C2,EXACT,0,FULL,1e-05,0.01,1,N2A,1,1,2,1,2,0.06434997068875511,1.8911048234996156e-06,3.894972804236816e-06,0.6967958996203717,0.0002970996056411552,8.427824331471176e-05,1.6381893553891105e-05,0.00014050814077595675,0.34145329362775995,0.001104360354763632,0.0002497844023831381,0.0021719327958223578,0.009321893892012153,0.48269312585147106,16,4608,0.0003647569294763757,3,0.00031326137666972005,9.210723192973791e-05,3,0.0009581937799902022,0.00025222257863708803
C3|EXACT|0|FULL|1e-05|0.01|1,joint_1_minus_joint_0,all,201,C3,EXACT,0,FULL,1e-05,0.01,1,N2A,1,0,2,0,2,0.07312340594437113,3.5442058232462705e-06,7.108421463413928e-06,0.7061108463952025,0.00040995471442452266,8.336065649207624e-05,3.460583974636187e-05,0.00023194308277921423,0.3862637776750753,0.0011363944268301441,0.000284683837720515,0.004271277095988045,0.015642207484607474,0.5225524067254675,24,6912,0.00037119931756783315,2,0.00043982452894954097,8.913612474834673e-05,3,0.0011177637939805112,0.00028947961044645547
C3|EXACT|0|FULL|1e-05|0.01|1,joint_1_minus_joint_0,active,201,C3,EXACT,0,FULL,1e-05,0.01,1,N2A,1,1,2,1,2,0.07312340594437113,3.519592301278415e-06,7.083807941446073e-06,0.7048761084714814,0.0004419665047440427,0.0001211104824252509,3.3962026427233046e-05,0.0002312992694600854,0.3831860298579427,0.0012513280311949413,0.00040660285072664624,0.004228044172001669,0.0155989745606211,0.5206210611658958,16,4608,0.0005373274428410141,2,0.00047819993025472753,0.0001299827744698461,3,0.0011998241880315371,0.0004111544253050574
C3|EXACT|0|FULL|1e-05|0.01|1,no_x_off_1_minus_joint_0,all,201,C3,EXACT,0,FULL,1e-05,0.01,1,N2A,1,0,2,0,2,0.021654170376631244,5.490572069695167e-07,1.1446248184163172e-06,0.6925915986229082,0.00017605921628392981,2.7175160948935088e-05,7.425697027568935e-06,3.3530156427105385e-05,0.4705988083651542,0.0005059754039244221,0.00011816090279842289,0.0007404590405635277,0.0022690278812983054,0.5712557753328872,24,6912,0.0001290877518000334,2,0.00016843395284334362,2.866853061788832e-05,5,0.0005252038971599446,0.00011820234672722182
C3|EXACT|0|FULL|1e-05|0.01|1,joint_1_minus_no_x_off_1,all,201,C3,EXACT,0,FULL,1e-05,0.01,1,N2A,1,0,2,0,2,0.06434997068875511,1.8911048234996156e-06,3.894972804236816e-06,0.6967958996203717,0.0002919624478176816,5.618549554314117e-05,1.6381893553891105e-05,0.00014050814077595675,0.34145329362775995,0.0008389983148742209,0.00016652293492209206,0.0021719327958223578,0.009321893892012153,0.48269312585147106,24,6912,0.0002431712863175838,3,0.0002954571444778855,6.140482128649194e-05,3,0.0008453988445772078,0.00016814838575805868
C3|EXACT|0|FULL|1e-05|0.01|1,joint_1_minus_no_x_off_1,active,201,C3,EXACT,0,FULL,1e-05,0.01,1,N2A,1,1,2,1,2,0.06434997068875511,1.8911048234996156e-06,3.894972804236816e-06,0.6967958996203717,0.0002970996056411552,8.427824331471176e-05,1.6381893553891105e-05,0.00014050814077595675,0.34145329362775995,0.001104360354763632,0.0002497844023831381,0.0021719327958223578,0.009321893892012153,0.48269312585147106,16,4608,0.0003647569294763757,3,0.00031326137666972005,9.210723192973791e-05,3,0.0009581937799902022,0.00025222257863708803
C4_PCA|EXACT|0|1|1e-05|0.01|1,joint_1_minus_joint_0,all,201,C4_PCA,EXACT,0,1,1e-05,0.01,1,N2A,1,0,1,0,2,0.05653605152657837,3.4398189274821246e-06,7.108421463413928e-06,0.6956346496991374,0.00040995471442452266,8.036601433987344e-05,6.211024537263565e-05,0.00023194308277921423,0.517476831045811,0.00149298759622862,0.00039547635288199486,0.005428288147376455,0.015642207484607474,0.5890910510987618,24,6912,0.00043533574183725305,2,0.00043982452894954097,8.343710357722737e-05,2,0.0015351241183748196,0.000405300700073353
C4_PCA|EXACT|0|1|1e-05|0.01|1,joint_1_minus_joint_0,active,201,C4_PCA,EXACT,0,1,1e-05,0.01,1,N2A,1,1,1,1,2,0.05653605152657837,3.4152054055142692e-06,7.083807941446073e-06,0.694344541374726,0.0004419665047440427,0.00011661851919694668,6.146643205350682e-05,0.0002312992694600854,0.5155038007327863,0.0015048324782439683,0.000572791623468866,0.00538505522339008,0.0155989745606211,0.5875530103784923,16,4608,0.000633532079245144,2,0.00047819993025472753,0.00012143424271316705,2,0.0015960436229851328,0.0005864223838358584
C4_PCA|EXACT|0|1|1e-05|0.01|1,no_x_off_1_minus_joint_0,all,201,C4_PCA,EXACT,0,1,1e-05,0.01,1,N2A,1,0,1,0,2,0.02074520755384318,5.810928741904403e-07,1.1446248184163172e-06,0.7125103802298756,0.00017605921628392981,2.8286424453914528e-05,8.282159420322392e-06,3.3530156427105385e-05,0.49699726997817817,0.0005791521845422069,0.00012487238619221047,0.0007953288252816225,0.0022690278812983054,0.5920432653592885,24,6912,0.00013522076077707426,2,0.00017156114320628386,2.984280182075784e-05,1,0.0005733725622795445,0.0001265145482608924
C4_PCA|EXACT|0|1|1e-05|0.01|1,joint_1_minus_no_x_off_1,all,201,C4_PCA,EXACT,0,1,1e-05,0.01,1,N2A,1,0,1,0,2,0.04497978944499044,1.7640522936368824e-06,3.894972804236816e-06,0.6729820996712402,0.0002919624478176816,5.237343332630097e-05,4.338773149530915e-05,0.00014050814077595675,0.5556901879625491,0.00149298759622862,0.00027060396668978433,0.003293713792473686,0.009321893892012153,0.5944164937160551,24,6912,0.00030205768734449897,3,0.0002954571444778855,5.428008902168749e-05,2,0.0015089172237533048,0.0002815576180132003
C4_PCA|EXACT|0|1|1e-05|0.01|1,joint_1_minus_no_x_off_1,active,201,C4_PCA,EXACT,0,1,1e-05,0.01,1,N2A,1,1,1,1,2,0.04497978944499044,1.7640522936368824e-06,3.894972804236816e-06,0.6729820996712402,0.0002970996056411552,7.856014998945146e-05,4.338773149530915e-05,0.00014050814077595675,0.5556901879625491,0.0015048324782439683,0.0004059059500346766,0.003293713792473686,0.009321893892012153,0.5944164937160551,16,4608,0.0004530865310167485,3,0.00031326137666972005,8.142013353253124e-05,2,0.0015960436229851328,0.0004223364270198004
C4_PCA|EXACT|0|2|1e-05|0.01|1,joint_1_minus_joint_0,all,201,C4_PCA,EXACT,0,2,1e-05,0.01,1,N2A,1,0,2,0,2,0.07312340594437113,3.5442058232462705e-06,7.108421463413928e-06,0.7061108463952025,0.00040995471442452266,8.336065649207624e-05,3.460583974636187e-05,0.00023194308277921423,0.3862637776750753,0.0011363944268301441,0.000284683837720515,0.004271277095988045,0.015642207484607474,0.5225524067254675,24,6912,0.00037119931756783315,2,0.00043982452894954097,8.913612474834673e-05,3,0.0011177637939805112,0.00028947961044645547
C4_PCA|EXACT|0|2|1e-05|0.01|1,joint_1_minus_joint_0,active,201,C4_PCA,EXACT,0,2,1e-05,0.01,1,N2A,1,1,2,1,2,0.07312340594437113,3.519592301278415e-06,7.083807941446073e-06,0.7048761084714814,0.0004419665047440427,0.0001211104824252509,3.3962026427233046e-05,0.0002312992694600854,0.3831860298579427,0.0012513280311949413,0.00040660285072664624,0.004228044172001669,0.0155989745606211,0.5206210611658958,16,4608,0.0005373274428410141,2,0.00047819993025472753,0.0001299827744698461,3,0.0011998241880315371,0.0004111544253050574
C4_PCA|EXACT|0|2|1e-05|0.01|1,no_x_off_1_minus_joint_0,all,201,C4_PCA,EXACT,0,2,1e-05,0.01,1,N2A,1,0,2,0,2,0.021654170376631244,5.490572069695167e-07,1.1446248184163172e-06,0.6925915986229082,0.00017605921628392981,2.7175160948935088e-05,7.425697027568935e-06,3.3530156427105385e-05,0.4705988083651542,0.0005059754039244221,0.00011816090279842289,0.0007404590405635277,0.0022690278812983054,0.5712557753328872,24,6912,0.0001290877518000334,2,0.00016843395284334362,2.866853061788832e-05,5,0.0005252038971599446,0.00011820234672722182
C4_PCA|EXACT|0|2|1e-05|0.01|1,joint_1_minus_no_x_off_1,all,201,C4_PCA,EXACT,0,2,1e-05,0.01,1,N2A,1,0,2,0,2,0.06434997068875511,1.8911048234996156e-06,3.894972804236816e-06,0.6967958996203717,0.0002919624478176816,5.618549554314117e-05,1.6381893553891105e-05,0.00014050814077595675,0.34145329362775995,0.0008389983148742209,0.00016652293492209206,0.0021719327958223578,0.009321893892012153,0.48269312585147106,24,6912,0.0002431712863175838,3,0.0002954571444778855,6.140482128649194e-05,3,0.0008453988445772078,0.00016814838575805868
C4_PCA|EXACT|0|2|1e-05|0.01|1,joint_1_minus_no_x_off_1,active,201,C4_PCA,EXACT,0,2,1e-05,0.01,1,N2A,1,1,2,1,2,0.06434997068875511,1.8911048234996156e-06,3.894972804236816e-06,0.6967958996203717,0.0002970996056411552,8.427824331471176e-05,1.6381893553891105e-05,0.00014050814077595675,0.34145329362775995,0.001104360354763632,0.0002497844023831381,0.0021719327958223578,0.009321893892012153,0.48269312585147106,16,4608,0.0003647569294763757,3,0.00031326137666972005,9.210723192973791e-05,3,0.0009581937799902022,0.00025222257863708803
C4_PCA|EXACT|0|4|1e-05|0.01|1,joint_1_minus_joint_0,all,201,C4_PCA,EXACT,0,4,1e-05,0.01,1,N2A,1,0,2,0,2,0.07312340594437113,3.5442058232462705e-06,7.108421463413928e-06,0.7061108463952025,0.00040995471442452266,8.336065649207624e-05,3.460583974636187e-05,0.00023194308277921423,0.3862637776750753,0.0011363944268301441,0.000284683837720515,0.004271277095988045,0.015642207484607474,0.5225524067254675,24,6912,0.00037119931756783315,2,0.00043982452894954097,8.913612474834673e-05,3,0.0011177637939805112,0.00028947961044645547
C4_PCA|EXACT|0|4|1e-05|0.01|1,joint_1_minus_joint_0,active,201,C4_PCA,EXACT,0,4,1e-05,0.01,1,N2A,1,1,2,1,2,0.07312340594437113,3.519592301278415e-06,7.083807941446073e-06,0.7048761084714814,0.0004419665047440427,0.0001211104824252509,3.3962026427233046e-05,0.0002312992694600854,0.3831860298579427,0.0012513280311949413,0.00040660285072664624,0.004228044172001669,0.0155989745606211,0.5206210611658958,16,4608,0.0005373274428410141,2,0.00047819993025472753,0.0001299827744698461,3,0.0011998241880315371,0.0004111544253050574
