configuration_id,target,quantity,scope,used_for_N3_selection,noise_replicas_are_independent_training_seeds,delta,status,effective_anchor_bank_units,training_seed_count,eligible_group_case_rows,accuracy,accuracy_weighting,min_anchor_bank_units,min_training_seeds
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.0001,DESCRIPTIVE_SUPPORTED,138,10,5960,0.9638435990338163,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.00025,DESCRIPTIVE_SUPPORTED,84,10,3520,0.9828373015873016,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.0005,DESCRIPTIVE_SUPPORTED,35,10,1128,1.0,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.0001,DESCRIPTIVE_SUPPORTED,158,10,7576,0.9994725738396624,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.00025,DESCRIPTIVE_SUPPORTED,156,10,7384,0.9998664529914529,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.0005,DESCRIPTIVE_SUPPORTED,136,10,6192,1.0,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.001,DESCRIPTIVE_SUPPORTED,107,10,4664,1.0,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.0001,DESCRIPTIVE_SUPPORTED,53,10,1800,0.943317610062893,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.00025,INSUFFICIENT_EFFECTIVE_CASES,10,7,312,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,pX,legacy_diagnostic_development_and_selection,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.0001,DESCRIPTIVE_SUPPORTED,104,10,4960,0.9993990384615384,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.00025,DESCRIPTIVE_SUPPORTED,94,10,4432,1.0,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.0005,DESCRIPTIVE_SUPPORTED,71,10,3112,1.0,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,no_x_off_1_minus_joint_0,v,legacy_diagnostic_development_and_selection,False,False,0.001,DESCRIPTIVE_SUPPORTED,22,9,896,1.0,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_diagnostic_development_and_selection,False,False,0.0001,DESCRIPTIVE_SUPPORTED,114,10,5104,0.981999269005848,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_diagnostic_development_and_selection,False,False,0.00025,DESCRIPTIVE_SUPPORTED,75,10,2976,0.9857777777777779,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_diagnostic_development_and_selection,False,False,0.0005,INSUFFICIENT_EFFECTIVE_CASES,19,9,552,,equal_anchor_bank_units_then_group_replica_average,20,5
C6|O_LR_MIX|64|4|1e-05|0.01|8,joint_1_minus_no_x_off_1,pX,legacy_diagnostic_development_and_selection,False,False,0.001,INSUFFICIENT_EFFECTIVE_CASES,0,0,0,,equal_anchor_bank_units_then_group_replica_average,20,5
