fixture,n,replicates,pX,v,q_oracle,s_oracle,frequency_event_mae,helmert_roundtrip_max,X_zero_count_fraction,S_zero_count_fraction,q_unobserved_fraction,s_unobserved_fraction,q_rmse_when_observed,s_rmse_when_observed,S_structurally_empty_fixture
interior,16,512,0.21,0.6,0.35,0.3333333333333333,0.08353515624999999,1.1102230246251565e-16,0.0390625,0.083984375,0.0,0.001953125,0.16167488431193913,0.1975989351861332,False
interior,64,512,0.21,0.6,0.35,0.3333333333333333,0.043493041992187495,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.08199290150856504,0.09555123539059777,False
interior,256,512,0.21,0.6,0.35,0.3333333333333333,0.020938568115234375,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.03923990299710778,0.04775458436593214,False
rare_X,16,512,0.001,0.9,0.0011111111111111111,0.11012235817575083,0.0525615234375,2.220446049250313e-16,0.98046875,0.203125,0.0,0.0,0.009607533040736138,0.0835952499592108,False
rare_X,64,512,0.001,0.9,0.0011111111111111111,0.11012235817575083,0.0245517578125,2.220446049250313e-16,0.939453125,0.001953125,0.0,0.0,0.004338422370660838,0.040111306762595965,False
rare_X,256,512,0.001,0.9,0.0011111111111111111,0.11012235817575083,0.013124816894531249,2.220446049250313e-16,0.759765625,0.0,0.0,0.0,0.002113992478918204,0.020898507639457494,False
rare_valid,16,512,0.003,0.01,0.3,0.42857142857142855,0.008185058593750003,1.1102230246251565e-16,0.95703125,0.974609375,0.88671875,0.921875,0.4590094281955587,0.4626344261346079,False
rare_valid,64,512,0.003,0.01,0.3,0.42857142857142855,0.006722045898437502,1.1102230246251565e-16,0.791015625,0.833984375,0.50390625,0.638671875,0.4368735359794583,0.4633004428678933,False
rare_valid,256,512,0.003,0.01,0.3,0.42857142857142855,0.0031591186523437505,1.1102230246251565e-16,0.474609375,0.466796875,0.078125,0.1640625,0.31772791311703136,0.3713613817562034,False
rare_valid_error,16,512,0.899,0.8999999999999999,0.998888888888889,0.5,0.031968750000000004,1.942890293094024e-16,0.0,0.99609375,0.0,0.9921875,0.006109564842513546,0.5,False
rare_valid_error,64,512,0.899,0.8999999999999999,0.998888888888889,0.5,0.01587060546875,2.220446049250313e-16,0.0,0.955078125,0.0,0.9296875,0.004762353903602665,0.4930066485916347,False
rare_valid_error,256,512,0.899,0.8999999999999999,0.998888888888889,0.5,0.008127990722656249,2.220446049250313e-16,0.0,0.884765625,0.0,0.771484375,0.0022346700886538198,0.4826033390953516,False
all_invalid,16,512,0.0,0.0,,,0.0,5.551115123125783e-17,1.0,1.0,1.0,1.0,,,False
all_invalid,64,512,0.0,0.0,,,0.0,5.551115123125783e-17,1.0,1.0,1.0,1.0,,,False
all_invalid,256,512,0.0,0.0,,,0.0,5.551115123125783e-17,1.0,1.0,1.0,1.0,,,False
structural_S_empty,16,512,0.1,0.7999999999999999,0.12500000000000003,0.0,0.059118652343749994,2.220446049250313e-16,0.185546875,1.0,0.0,0.0,0.09672908570420088,0.0,True
structural_S_empty,64,512,0.1,0.7999999999999999,0.12500000000000003,0.0,0.028628540039062504,2.220446049250313e-16,0.0,1.0,0.0,0.0,0.04612782201690615,0.0,True
structural_S_empty,256,512,0.1,0.7999999999999999,0.12500000000000003,0.0,0.014606475830078125,2.220446049250313e-16,0.0,1.0,0.0,0.0,0.02292207189167563,0.0,True
