seed,arm,anchor,n,oracle_min_mass,oracle_qualified_prompts,observed_defined_prompts,total_prompts,oracle_coverage_fraction,scored_coverage_fraction,subset_label,window_includes_fit_eval_and_16_steps,conditional_probability_mae,conditional_raw_invalid_fraction,status
301,X_BASE,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0026337116325223964,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
301,X_BASE,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.03524950071369399,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
301,X_BASE,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.007036475252671913,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
301,X_BASE,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0386018231037489,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
301,X_BASE,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.003808647824003928,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
301,X_BASE,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.037356101030767884,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
301,X_VALID,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.003937001392614674,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
301,X_VALID,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.030662390509364954,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
301,X_VALID,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0013350937198303937,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
301,X_VALID,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.022246414785464488,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
301,X_VALID,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0025265413867454306,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
301,X_VALID,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.02497553738098424,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
302,X_BASE,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.001909287493455272,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
302,X_BASE,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.03466765152199294,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
302,X_BASE,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.004890131283187428,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
302,X_BASE,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.03678002866262058,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
302,X_BASE,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.006212340764550317,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
302,X_BASE,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.035740157674472355,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
302,X_VALID,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.005157341435082509,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
302,X_VALID,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.031047576824883266,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
302,X_VALID,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0011500398692859371,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
302,X_VALID,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.02781499876564777,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
302,X_VALID,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0017058410226031126,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
302,X_VALID,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.027975840120960997,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
303,X_BASE,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0018148595165252861,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
303,X_BASE,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.03331960895144778,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
303,X_BASE,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.006877938552104754,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
303,X_BASE,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.03174960700233813,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
303,X_BASE,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.00687432274381356,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
303,X_BASE,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.03770452764460252,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
303,X_VALID,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.003982667375989701,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
303,X_VALID,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.029537620147474783,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
303,X_VALID,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0007276165579324234,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
303,X_VALID,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.026538678925752315,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
303,X_VALID,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.001442737042288981,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
303,X_VALID,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.023099952778709014,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
304,X_BASE,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0020741775419844434,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
304,X_BASE,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.032869340226660645,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
304,X_BASE,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.005023860633907835,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
304,X_BASE,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.036223442471625004,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
304,X_BASE,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.005718173654296432,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
304,X_BASE,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0361370636676226,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
304,X_VALID,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.004918244058125078,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
304,X_VALID,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.02765936457430555,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
304,X_VALID,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0015697823415350598,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
304,X_VALID,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.02336293641089252,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
304,X_VALID,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0018287961448324814,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
304,X_VALID,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.02566189740873022,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
305,X_BASE,8,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.0018436402677036933,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
305,X_BASE,8,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.03590204897387066,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
305,X_BASE,24,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.00629808669371395,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
305,X_BASE,24,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.039116785608872134,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
305,X_BASE,40,exact,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.004163297270911742,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
305,X_BASE,40,64,0.05,72,72,72,1.0,1.0,ORACLE_DIAGNOSTIC_NOT_PRIMARY,True,0.035010451595614146,0.0,SCORED_ORACLE_QUALIFIED_SUBSET
