seed,arm,anchor,n,noise,r,k,raw_vs_helmert_max_abs,status,same_U_and_ridge_used
301,X_BASE,8,exact,0,0,23,0.0,PASS,True
301,X_BASE,8,16,0,0,23,0.0,PASS,True
301,X_BASE,8,64,0,0,23,0.0,PASS,True
301,X_BASE,8,256,0,0,23,0.0,PASS,True
301,X_BASE,24,exact,0,0,20,0.0,PASS,True
301,X_BASE,24,16,0,0,20,0.0,PASS,True
301,X_BASE,24,64,0,0,20,0.0,PASS,True
301,X_BASE,24,256,0,0,20,0.0,PASS,True
301,X_BASE,40,exact,0,0,11,0.0,PASS,True
301,X_BASE,40,16,0,0,11,0.0,PASS,True
301,X_BASE,40,64,0,0,11,0.0,PASS,True
301,X_BASE,40,256,0,0,11,0.0,PASS,True
301,X_VALID,8,exact,0,0,14,0.0,PASS,True
301,X_VALID,8,16,0,0,14,0.0,PASS,True
301,X_VALID,8,64,0,0,14,0.0,PASS,True
301,X_VALID,8,256,0,0,14,0.0,PASS,True
301,X_VALID,24,exact,0,0,9,0.0,PASS,True
301,X_VALID,24,16,0,0,9,0.0,PASS,True
301,X_VALID,24,64,0,0,9,0.0,PASS,True
301,X_VALID,24,256,0,0,9,0.0,PASS,True
301,X_VALID,40,exact,0,0,9,0.0,PASS,True
301,X_VALID,40,16,0,0,9,0.0,PASS,True
301,X_VALID,40,64,0,0,9,0.0,PASS,True
301,X_VALID,40,256,0,0,9,0.0,PASS,True
302,X_BASE,8,exact,0,0,18,0.0,PASS,True
302,X_BASE,8,16,0,0,18,0.0,PASS,True
302,X_BASE,8,64,0,0,18,0.0,PASS,True
302,X_BASE,8,256,0,0,18,0.0,PASS,True
302,X_BASE,24,exact,0,0,21,0.0,PASS,True
302,X_BASE,24,16,0,0,21,0.0,PASS,True
302,X_BASE,24,64,0,0,21,0.0,PASS,True
302,X_BASE,24,256,0,0,21,0.0,PASS,True
302,X_BASE,40,exact,0,0,15,0.0,PASS,True
302,X_BASE,40,16,0,0,15,0.0,PASS,True
302,X_BASE,40,64,0,0,15,0.0,PASS,True
302,X_BASE,40,256,0,0,15,0.0,PASS,True
302,X_VALID,8,exact,0,0,18,0.0,PASS,True
302,X_VALID,8,16,0,0,18,0.0,PASS,True
302,X_VALID,8,64,0,0,18,0.0,PASS,True
302,X_VALID,8,256,0,0,18,0.0,PASS,True
302,X_VALID,24,exact,0,0,9,0.0,PASS,True
302,X_VALID,24,16,0,0,9,0.0,PASS,True
302,X_VALID,24,64,0,0,9,0.0,PASS,True
302,X_VALID,24,256,0,0,9,0.0,PASS,True
302,X_VALID,40,exact,0,0,12,0.0,PASS,True
302,X_VALID,40,16,0,0,12,0.0,PASS,True
302,X_VALID,40,64,0,0,12,0.0,PASS,True
302,X_VALID,40,256,0,0,12,0.0,PASS,True
303,X_BASE,8,exact,0,0,18,0.0,PASS,True
303,X_BASE,8,16,0,0,18,0.0,PASS,True
303,X_BASE,8,64,0,0,18,0.0,PASS,True
303,X_BASE,8,256,0,0,18,0.0,PASS,True
303,X_BASE,24,exact,0,0,17,0.0,PASS,True
303,X_BASE,24,16,0,0,17,0.0,PASS,True
303,X_BASE,24,64,0,0,17,0.0,PASS,True
303,X_BASE,24,256,0,0,17,0.0,PASS,True
303,X_BASE,40,exact,0,0,12,0.0,PASS,True
303,X_BASE,40,16,0,0,12,0.0,PASS,True
303,X_BASE,40,64,0,0,12,0.0,PASS,True
303,X_BASE,40,256,0,0,12,0.0,PASS,True
303,X_VALID,8,exact,0,0,17,0.0,PASS,True
303,X_VALID,8,16,0,0,17,0.0,PASS,True
303,X_VALID,8,64,0,0,17,0.0,PASS,True
303,X_VALID,8,256,0,0,17,0.0,PASS,True
303,X_VALID,24,exact,0,0,16,0.0,PASS,True
303,X_VALID,24,16,0,0,16,0.0,PASS,True
303,X_VALID,24,64,0,0,16,0.0,PASS,True
303,X_VALID,24,256,0,0,16,0.0,PASS,True
303,X_VALID,40,exact,0,0,10,0.0,PASS,True
303,X_VALID,40,16,0,0,10,0.0,PASS,True
303,X_VALID,40,64,0,0,10,0.0,PASS,True
303,X_VALID,40,256,0,0,10,0.0,PASS,True
304,X_BASE,8,exact,0,0,22,0.0,PASS,True
304,X_BASE,8,16,0,0,22,0.0,PASS,True
304,X_BASE,8,64,0,0,22,0.0,PASS,True
304,X_BASE,8,256,0,0,22,0.0,PASS,True
304,X_BASE,24,exact,0,0,15,0.0,PASS,True
304,X_BASE,24,16,0,0,15,0.0,PASS,True
304,X_BASE,24,64,0,0,15,0.0,PASS,True
304,X_BASE,24,256,0,0,15,0.0,PASS,True
304,X_BASE,40,exact,0,0,13,0.0,PASS,True
304,X_BASE,40,16,0,0,13,0.0,PASS,True
304,X_BASE,40,64,0,0,13,0.0,PASS,True
304,X_BASE,40,256,0,0,13,0.0,PASS,True
304,X_VALID,8,exact,0,0,16,0.0,PASS,True
304,X_VALID,8,16,0,0,16,0.0,PASS,True
304,X_VALID,8,64,0,0,16,0.0,PASS,True
304,X_VALID,8,256,0,0,16,0.0,PASS,True
304,X_VALID,24,exact,0,0,10,0.0,PASS,True
304,X_VALID,24,16,0,0,10,0.0,PASS,True
304,X_VALID,24,64,0,0,10,0.0,PASS,True
304,X_VALID,24,256,0,0,10,0.0,PASS,True
304,X_VALID,40,exact,0,0,11,0.0,PASS,True
304,X_VALID,40,16,0,0,11,0.0,PASS,True
304,X_VALID,40,64,0,0,11,0.0,PASS,True
304,X_VALID,40,256,0,0,11,0.0,PASS,True
305,X_BASE,8,exact,0,0,21,0.0,PASS,True
305,X_BASE,8,16,0,0,21,0.0,PASS,True
305,X_BASE,8,64,0,0,21,0.0,PASS,True
305,X_BASE,8,256,0,0,21,0.0,PASS,True
305,X_BASE,24,exact,0,0,22,0.0,PASS,True
305,X_BASE,24,16,0,0,22,0.0,PASS,True
305,X_BASE,24,64,0,0,22,0.0,PASS,True
305,X_BASE,24,256,0,0,22,0.0,PASS,True
305,X_BASE,40,exact,0,0,12,0.0,PASS,True
305,X_BASE,40,16,0,0,12,0.0,PASS,True
305,X_BASE,40,64,0,0,12,0.0,PASS,True
305,X_BASE,40,256,0,0,12,0.0,PASS,True
305,X_VALID,8,exact,0,0,13,0.0,PASS,True
305,X_VALID,8,16,0,0,13,0.0,PASS,True
305,X_VALID,8,64,0,0,13,0.0,PASS,True
305,X_VALID,8,256,0,0,13,0.0,PASS,True
305,X_VALID,24,exact,0,0,10,0.0,PASS,True
305,X_VALID,24,16,0,0,10,0.0,PASS,True
305,X_VALID,24,64,0,0,10,0.0,PASS,True
305,X_VALID,24,256,0,0,10,0.0,PASS,True
305,X_VALID,40,exact,0,0,9,0.0,PASS,True
305,X_VALID,40,16,0,0,9,0.0,PASS,True
305,X_VALID,40,64,0,0,9,0.0,PASS,True
305,X_VALID,40,256,0,0,9,0.0,PASS,True
306,X_BASE,8,exact,0,0,22,0.0,PASS,True
306,X_BASE,8,16,0,0,22,0.0,PASS,True
306,X_BASE,8,64,0,0,22,0.0,PASS,True
306,X_BASE,8,256,0,0,22,0.0,PASS,True
306,X_BASE,24,exact,0,0,16,0.0,PASS,True
306,X_BASE,24,16,0,0,16,0.0,PASS,True
306,X_BASE,24,64,0,0,16,0.0,PASS,True
306,X_BASE,24,256,0,0,16,0.0,PASS,True
306,X_BASE,40,exact,0,0,14,0.0,PASS,True
306,X_BASE,40,16,0,0,14,0.0,PASS,True
306,X_BASE,40,64,0,0,14,0.0,PASS,True
306,X_BASE,40,256,0,0,14,0.0,PASS,True
306,X_VALID,8,exact,0,0,19,0.0,PASS,True
306,X_VALID,8,16,0,0,19,0.0,PASS,True
306,X_VALID,8,64,0,0,19,0.0,PASS,True
306,X_VALID,8,256,0,0,19,0.0,PASS,True
306,X_VALID,24,exact,0,0,8,0.0,PASS,True
306,X_VALID,24,16,0,0,8,0.0,PASS,True
306,X_VALID,24,64,0,0,8,0.0,PASS,True
306,X_VALID,24,256,0,0,8,0.0,PASS,True
306,X_VALID,40,exact,0,0,11,0.0,PASS,True
306,X_VALID,40,16,0,0,11,0.0,PASS,True
306,X_VALID,40,64,0,0,11,0.0,PASS,True
306,X_VALID,40,256,0,0,11,0.0,PASS,True
307,X_BASE,8,exact,0,0,23,0.0,PASS,True
307,X_BASE,8,16,0,0,23,0.0,PASS,True
307,X_BASE,8,64,0,0,23,0.0,PASS,True
307,X_BASE,8,256,0,0,23,0.0,PASS,True
307,X_BASE,24,exact,0,0,18,0.0,PASS,True
307,X_BASE,24,16,0,0,18,0.0,PASS,True
307,X_BASE,24,64,0,0,18,0.0,PASS,True
307,X_BASE,24,256,0,0,18,0.0,PASS,True
307,X_BASE,40,exact,0,0,17,0.0,PASS,True
307,X_BASE,40,16,0,0,17,0.0,PASS,True
307,X_BASE,40,64,0,0,17,0.0,PASS,True
307,X_BASE,40,256,0,0,17,0.0,PASS,True
307,X_VALID,8,exact,0,0,17,0.0,PASS,True
307,X_VALID,8,16,0,0,17,0.0,PASS,True
307,X_VALID,8,64,0,0,17,0.0,PASS,True
307,X_VALID,8,256,0,0,17,0.0,PASS,True
307,X_VALID,24,exact,0,0,8,0.0,PASS,True
307,X_VALID,24,16,0,0,8,0.0,PASS,True
307,X_VALID,24,64,0,0,8,0.0,PASS,True
307,X_VALID,24,256,0,0,8,0.0,PASS,True
307,X_VALID,40,exact,0,0,12,0.0,PASS,True
307,X_VALID,40,16,0,0,12,0.0,PASS,True
307,X_VALID,40,64,0,0,12,0.0,PASS,True
307,X_VALID,40,256,0,0,12,0.0,PASS,True
