seed,arm,anchor,method,rank_cap,alpha,n,noise,fit_budget,representation,input_mode,r,k,threshold,eligible_prompt_branches,eligible_branches,correct,accuracy
301,X_BASE,8,B0_PERSISTENCE,0,0.0,exact,0,8,per_prompt,actual_d,0,23,0.002,54,8,0,0.0
301,X_BASE,8,B0_PERSISTENCE,0,0.0,exact,0,8,per_prompt,actual_d,0,23,0.005,0,0,0,
301,X_BASE,8,B0_PERSISTENCE,0,0.0,exact,0,8,per_prompt,actual_d,0,23,0.01,0,0,0,
301,X_BASE,8,B1_LOG_RIDGE,0,0.01,exact,0,8,per_prompt,actual_d,0,23,0.002,54,8,54,1.0
301,X_BASE,8,B1_LOG_RIDGE,0,0.01,exact,0,8,per_prompt,actual_d,0,23,0.005,0,0,0,
301,X_BASE,8,B1_LOG_RIDGE,0,0.01,exact,0,8,per_prompt,actual_d,0,23,0.01,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,0,0.0,exact,0,8,per_prompt,actual_d,0,23,0.002,54,8,0,0.0
301,X_BASE,8,B2_RANDOM_Q,0,0.0,exact,0,8,per_prompt,actual_d,0,23,0.005,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,0,0.0,exact,0,8,per_prompt,actual_d,0,23,0.01,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,1,0.01,exact,0,8,per_prompt,actual_d,1,23,0.002,54,8,13,0.24074074074074073
301,X_BASE,8,B2_RANDOM_Q,1,0.01,exact,0,8,per_prompt,actual_d,1,23,0.005,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,1,0.01,exact,0,8,per_prompt,actual_d,1,23,0.01,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,2,0.01,exact,0,8,per_prompt,actual_d,2,23,0.002,54,8,54,1.0
301,X_BASE,8,B2_RANDOM_Q,2,0.01,exact,0,8,per_prompt,actual_d,2,23,0.005,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,2,0.01,exact,0,8,per_prompt,actual_d,2,23,0.01,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,4,0.01,exact,0,8,per_prompt,actual_d,4,23,0.002,54,8,54,1.0
301,X_BASE,8,B2_RANDOM_Q,4,0.01,exact,0,8,per_prompt,actual_d,4,23,0.005,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,4,0.01,exact,0,8,per_prompt,actual_d,4,23,0.01,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,8,0.01,exact,0,8,per_prompt,actual_d,8,23,0.002,54,8,54,1.0
301,X_BASE,8,B2_RANDOM_Q,8,0.01,exact,0,8,per_prompt,actual_d,8,23,0.005,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,8,0.01,exact,0,8,per_prompt,actual_d,8,23,0.01,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,16,0.01,exact,0,8,per_prompt,actual_d,16,23,0.002,54,8,54,1.0
301,X_BASE,8,B2_RANDOM_Q,16,0.01,exact,0,8,per_prompt,actual_d,16,23,0.005,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,16,0.01,exact,0,8,per_prompt,actual_d,16,23,0.01,0,0,0,
301,X_BASE,8,B2_RANDOM_Q,FULL,0.01,exact,0,8,per_prompt,actual_d,23,23,0.002,54,8,54,1.0
301,X_BASE,8,B2_RANDOM_Q,FULL,0.01,exact,0,8,per_prompt,actual_d,23,23,0.005,0,0,0,
