seed,arm,anchor,method,rank_cap,alpha,n,noise,fit_budget,representation,input_mode,r,k,delta_rmse,delta_truth_ss,decomposition_level
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,exact,0,8,per_prompt,actual_d,0,23,0.003437385096144238,0.0408347699300163,FITTED_RESPONSE_VS_FINITE_STEP
301,X_BASE,8,B5_WORST_GROUP_RANK,1,0.01,exact,0,8,per_prompt,actual_d,1,23,0.0010146507760067929,0.0408347699300163,FITTED_RESPONSE_VS_FINITE_STEP
301,X_BASE,8,B5_WORST_GROUP_RANK,2,0.01,exact,0,8,per_prompt,actual_d,2,23,0.0005251020321209596,0.0408347699300163,FITTED_RESPONSE_VS_FINITE_STEP
301,X_BASE,8,B5_WORST_GROUP_RANK,4,0.01,exact,0,8,per_prompt,actual_d,4,23,0.0005236197720678678,0.0408347699300163,FITTED_RESPONSE_VS_FINITE_STEP
301,X_BASE,8,B5_WORST_GROUP_RANK,8,0.01,exact,0,8,per_prompt,actual_d,8,23,0.000524581751905471,0.0408347699300163,FITTED_RESPONSE_VS_FINITE_STEP
301,X_BASE,8,B5_WORST_GROUP_RANK,16,0.01,exact,0,8,per_prompt,actual_d,16,23,0.0005255941350045633,0.0408347699300163,FITTED_RESPONSE_VS_FINITE_STEP
301,X_BASE,8,B5_WORST_GROUP_RANK,FULL,0.01,exact,0,8,per_prompt,actual_d,23,23,0.0005257001595563074,0.0408347699300163,FITTED_RESPONSE_VS_FINITE_STEP
301,X_BASE,8,B6_FULL_Q_RIDGE,FULL,0.01,exact,0,8,per_prompt,actual_d,23,23,0.0005257001595562902,0.0408347699300163,FITTED_RESPONSE_VS_FINITE_STEP
301,X_BASE,8,O0_FULL_J_ORACLE,FULL,0.0,exact,0,8,per_prompt,actual_d,737,23,9.968688102150797e-05,0.0408347699300163,FULL_J_VS_FINITE_STEP
301,X_BASE,8,O1_JQ_SVD_ORACLE,0,0.0,exact,0,8,per_prompt,actual_d,0,23,0.003437385096144238,0.0408347699300163,LOW_RANK_J_VS_FINITE_STEP
301,X_BASE,8,O1_JQ_SVD_ORACLE,1,0.0,exact,0,8,per_prompt,actual_d,1,23,0.002217745306220371,0.0408347699300163,LOW_RANK_J_VS_FINITE_STEP
301,X_BASE,8,O1_JQ_SVD_ORACLE,2,0.0,exact,0,8,per_prompt,actual_d,2,23,0.000438618676339111,0.0408347699300163,LOW_RANK_J_VS_FINITE_STEP
301,X_BASE,8,O1_JQ_SVD_ORACLE,4,0.0,exact,0,8,per_prompt,actual_d,4,23,0.0003833557952932051,0.0408347699300163,LOW_RANK_J_VS_FINITE_STEP
301,X_BASE,8,O1_JQ_SVD_ORACLE,8,0.0,exact,0,8,per_prompt,actual_d,8,23,0.0003774983181118984,0.0408347699300163,LOW_RANK_J_VS_FINITE_STEP
301,X_BASE,8,O1_JQ_SVD_ORACLE,16,0.0,exact,0,8,per_prompt,actual_d,16,23,0.0003766558554769655,0.0408347699300163,LOW_RANK_J_VS_FINITE_STEP
