seed,arm,anchor,method,rank_cap,alpha,n,noise,r,k,selection_source,metric_space,full_J_rmse,low_J_rmse,direction_omission_rmse,fit_sampling_rmse,total_rmse,triangle_bound_mean,total_residual_norm_mean,frozen_model_reproduction_max_abs,source_frozen_record,vector_file
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00011510849518488333,0.002482855320075767,0.0024027238437961448,0.002232269945365438,0.0011716177973219682,0.06640102506042896,0.014416920086220577,0.0,41,exact_rule_vectors/000041.npz
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00011510849518488333,0.004009096398375913,0.003908195917853142,0.020578583022616816,0.02090982967006433,0.2850677549691831,0.24710016013833883,0.0,83,exact_rule_vectors/000083.npz
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00011510849518488333,0.0037642315449123546,0.003660467172992156,0.0857810171359038,0.08542518386265777,1.2786200903958833,1.2196812110241033,0.0,192,exact_rule_vectors/000192.npz
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00011510849518488333,0.00375898204704752,0.0036551244377944075,0.018665642655101993,0.01856785463845203,0.31140724702443445,0.2568449264575696,0.0,220,exact_rule_vectors/000220.npz
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00020735049267123912,0.0034211398620058934,0.003431253566793023,0.0035962250251029945,0.0017858761328016517,0.1022560560154165,0.023998641539991025,0.0,278,exact_rule_vectors/000278.npz
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00020735049267123912,0.010437512921879818,0.010251103932677315,0.04217805295641556,0.04320320723515469,0.7064102550527789,0.577679899921422,0.0,320,exact_rule_vectors/000320.npz
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00020735049267123912,0.009587756457252586,0.009401437080207567,0.11721859396995964,0.1158277844153153,1.8478405522026309,1.687586706514707,0.0,429,exact_rule_vectors/000429.npz
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.00020735049267123912,0.009978999938820418,0.009791377595452566,0.016793115556524775,0.01665919682150354,0.3809204312709336,0.23834667889226246,0.0,457,exact_rule_vectors/000457.npz
301,X_BASE,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,11,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.0002871440207509044,0.003831362227749515,0.0038535324784899857,0.0029353710154199427,0.0020216328231177872,0.1014274375666333,0.02648722827884564,0.0,515,exact_rule_vectors/000515.npz
301,X_BASE,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,11,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.0002871440207509044,0.004275280643222003,0.004356294197830783,0.06298196089253956,0.06257294425573216,0.9720299777324999,0.8983727246678894,0.0,557,exact_rule_vectors/000557.npz
301,X_BASE,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,11,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,0.0002871440207509044,0.004866585299377529,0.0050007544389841984,0.09003944717545573,0.08962687743515108,1.305176105126024,1.2224751931812967,0.0,666,exact_rule_vectors/000666.npz
