seed,arm,anchor,method,rank_cap,alpha,n,noise,r,k,selection_source,fixed_path_prediction_change_from_exact_rmse,anchor_measurement_rmse,scope
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0.018058991716361352,0.04385277535800566,Fixed path/rule/checkpoint; measurement affects U and response estimates
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0.07400236353574803,0.0964158298475606,Fixed path/rule/checkpoint; measurement affects U and response estimates
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0.01604942482172843,0.022135951646679353,Fixed path/rule/checkpoint; measurement affects U and response estimates
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0.03738770345052276,0.048518079918143345,Fixed path/rule/checkpoint; measurement affects U and response estimates
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0.1002891484619877,0.0908992782444537,Fixed path/rule/checkpoint; measurement affects U and response estimates
301,X_BASE,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,20,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0.014394685938507505,0.025328587012252317,Fixed path/rule/checkpoint; measurement affects U and response estimates
301,X_BASE,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,11,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0.05428045438408208,0.049422907388593264,Fixed path/rule/checkpoint; measurement affects U and response estimates
301,X_BASE,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,11,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0.07765712598546391,0.08790674050960698,Fixed path/rule/checkpoint; measurement affects U and response estimates
301,X_BASE,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,11,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0.02503312251016725,0.023460308110864973,Fixed path/rule/checkpoint; measurement affects U and response estimates
301,X_VALID,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,14,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0.0416673050576717,0.03894786838354385,Fixed path/rule/checkpoint; measurement affects U and response estimates
