seed,arm,anchor,n,noise,r,k,fixed_checkpoint_prediction_noise_rmse,anchor_measurement_rmse,scope
301,X_BASE,8,16,0,0,23,0.0,0.0964158298475606,fixed path and checkpoint; n changes measurement only
301,X_BASE,8,64,0,0,23,0.0,0.04385277535800566,fixed path and checkpoint; n changes measurement only
301,X_BASE,8,256,0,0,23,0.0,0.022135951646679353,fixed path and checkpoint; n changes measurement only
301,X_BASE,24,16,0,0,20,0.0,0.0908992782444537,fixed path and checkpoint; n changes measurement only
301,X_BASE,24,64,0,0,20,0.0,0.048518079918143345,fixed path and checkpoint; n changes measurement only
301,X_BASE,24,256,0,0,20,0.0,0.025328587012252317,fixed path and checkpoint; n changes measurement only
301,X_BASE,40,16,0,0,11,0.0,0.08790674050960698,fixed path and checkpoint; n changes measurement only
301,X_BASE,40,64,0,0,11,0.0,0.049422907388593264,fixed path and checkpoint; n changes measurement only
301,X_BASE,40,256,0,0,11,0.0,0.023460308110864973,fixed path and checkpoint; n changes measurement only
301,X_VALID,8,16,0,0,14,0.0,0.07619121626259008,fixed path and checkpoint; n changes measurement only
301,X_VALID,8,64,0,0,14,0.0,0.03894786838354385,fixed path and checkpoint; n changes measurement only
301,X_VALID,8,256,0,0,14,0.0,0.019924415855348057,fixed path and checkpoint; n changes measurement only
301,X_VALID,24,16,0,0,9,0.0,0.05668325727566901,fixed path and checkpoint; n changes measurement only
301,X_VALID,24,64,0,0,9,0.0,0.028424810546538885,fixed path and checkpoint; n changes measurement only
301,X_VALID,24,256,0,0,9,0.0,0.013959141629088671,fixed path and checkpoint; n changes measurement only
301,X_VALID,40,16,0,0,9,0.0,0.06660394078868746,fixed path and checkpoint; n changes measurement only
301,X_VALID,40,64,0,0,9,0.0,0.033940710675956824,fixed path and checkpoint; n changes measurement only
301,X_VALID,40,256,0,0,9,0.0,0.018507486766919254,fixed path and checkpoint; n changes measurement only
302,X_BASE,8,16,0,0,18,0.0,0.09597076632347105,fixed path and checkpoint; n changes measurement only
302,X_BASE,8,64,0,0,18,0.0,0.044083552245331795,fixed path and checkpoint; n changes measurement only
302,X_BASE,8,256,0,0,18,0.0,0.01992740444215782,fixed path and checkpoint; n changes measurement only
302,X_BASE,24,16,0,0,21,0.0,0.10452430951616627,fixed path and checkpoint; n changes measurement only
302,X_BASE,24,64,0,0,21,0.0,0.0475460320106116,fixed path and checkpoint; n changes measurement only
302,X_BASE,24,256,0,0,21,0.0,0.02539995252394315,fixed path and checkpoint; n changes measurement only
302,X_BASE,40,16,0,0,15,0.0,0.08837427099751113,fixed path and checkpoint; n changes measurement only
302,X_BASE,40,64,0,0,15,0.0,0.047225583853119514,fixed path and checkpoint; n changes measurement only
302,X_BASE,40,256,0,0,15,0.0,0.022357147231101833,fixed path and checkpoint; n changes measurement only
302,X_VALID,8,16,0,0,18,0.0,0.07707058516578369,fixed path and checkpoint; n changes measurement only
302,X_VALID,8,64,0,0,18,0.0,0.041309955157285,fixed path and checkpoint; n changes measurement only
