method,rank_cap,alpha,n,fit_budget,representation,input_mode,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage,frozen_record_ids
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[0, 237, 474, 711, 948, 1185, 1422, 1659, 1896, 2133, 2370, 2607, 2844, 3081, 3318, 3555, 3792, 4029, 4266, 4503, 4740, 4977, 5214, 5451, 5688, 5925, 6162, 6399, 6636, 6873, 7110, 7347, 7584, 7821, 8058, 8295, 8532, 8769, 9006, 9243, 9480, 9717, 9954, 10191, 10428, 10665, 10902, 11139, 11376, 11613, 11850, 12087, 12324, 12561, 12798, 13035, 13272, 13509, 13746, 13983]"
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,robust,1,[0],60,10,MATCHES_B0_EXACTLY,"[0, 237, 474, 711, 948, 1185, 1422, 1659, 1896, 2133, 2370, 2607, 2844, 3081, 3318, 3555, 3792, 4029, 4266, 4503, 4740, 4977, 5214, 5451, 5688, 5925, 6162, 6399, 6636, 6873, 7110, 7347, 7584, 7821, 8058, 8295, 8532, 8769, 9006, 9243, 9480, 9717, 9954, 10191, 10428, 10665, 10902, 11139, 11376, 11613, 11850, 12087, 12324, 12561, 12798, 13035, 13272, 13509, 13746, 13983]"
B1_LOG_RIDGE,0,0.01,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[1, 238, 475, 712, 949, 1186, 1423, 1660, 1897, 2134, 2371, 2608, 2845, 3082, 3319, 3556, 3793, 4030, 4267, 4504, 4741, 4978, 5215, 5452, 5689, 5926, 6163, 6400, 6637, 6874, 7111, 7348, 7585, 7822, 8059, 8296, 8533, 8770, 9007, 9244, 9481, 9718, 9955, 10192, 10429, 10666, 10903, 11140, 11377, 11614, 11851, 12088, 12325, 12562, 12799, 13036, 13273, 13510, 13747, 13984]"
B2_RANDOM_Q,0,0.0,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[2, 239, 476, 713, 950, 1187, 1424, 1661, 1898, 2135, 2372, 2609, 2846, 3083, 3320, 3557, 3794, 4031, 4268, 4505, 4742, 4979, 5216, 5453, 5690, 5927, 6164, 6401, 6638, 6875, 7112, 7349, 7586, 7823, 8060, 8297, 8534, 8771, 9008, 9245, 9482, 9719, 9956, 10193, 10430, 10667, 10904, 11141, 11378, 11615, 11852, 12089, 12326, 12563, 12800, 13037, 13274, 13511, 13748, 13985]"
B2_RANDOM_Q,1,0.01,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[3, 240, 477, 714, 951, 1188, 1425, 1662, 1899, 2136, 2373, 2610, 2847, 3084, 3321, 3558, 3795, 4032, 4269, 4506, 4743, 4980, 5217, 5454, 5691, 5928, 6165, 6402, 6639, 6876, 7113, 7350, 7587, 7824, 8061, 8298, 8535, 8772, 9009, 9246, 9483, 9720, 9957, 10194, 10431, 10668, 10905, 11142, 11379, 11616, 11853, 12090, 12327, 12564, 12801, 13038, 13275, 13512, 13749, 13986]"
B2_RANDOM_Q,2,0.01,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[4, 241, 478, 715, 952, 1189, 1426, 1663, 1900, 2137, 2374, 2611, 2848, 3085, 3322, 3559, 3796, 4033, 4270, 4507, 4744, 4981, 5218, 5455, 5692, 5929, 6166, 6403, 6640, 6877, 7114, 7351, 7588, 7825, 8062, 8299, 8536, 8773, 9010, 9247, 9484, 9721, 9958, 10195, 10432, 10669, 10906, 11143, 11380, 11617, 11854, 12091, 12328, 12565, 12802, 13039, 13276, 13513, 13750, 13987]"
B2_RANDOM_Q,4,0.01,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[5, 242, 479, 716, 953, 1190, 1427, 1664, 1901, 2138, 2375, 2612, 2849, 3086, 3323, 3560, 3797, 4034, 4271, 4508, 4745, 4982, 5219, 5456, 5693, 5930, 6167, 6404, 6641, 6878, 7115, 7352, 7589, 7826, 8063, 8300, 8537, 8774, 9011, 9248, 9485, 9722, 9959, 10196, 10433, 10670, 10907, 11144, 11381, 11618, 11855, 12092, 12329, 12566, 12803, 13040, 13277, 13514, 13751, 13988]"
B2_RANDOM_Q,8,0.01,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[6, 243, 480, 717, 954, 1191, 1428, 1665, 1902, 2139, 2376, 2613, 2850, 3087, 3324, 3561, 3798, 4035, 4272, 4509, 4746, 4983, 5220, 5457, 5694, 5931, 6168, 6405, 6642, 6879, 7116, 7353, 7590, 7827, 8064, 8301, 8538, 8775, 9012, 9249, 9486, 9723, 9960, 10197, 10434, 10671, 10908, 11145, 11382, 11619, 11856, 12093, 12330, 12567, 12804, 13041, 13278, 13515, 13752, 13989]"
B2_RANDOM_Q,16,0.01,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[7, 244, 481, 718, 955, 1192, 1429, 1666, 1903, 2140, 2377, 2614, 2851, 3088, 3325, 3562, 3799, 4036, 4273, 4510, 4747, 4984, 5221, 5458, 5695, 5932, 6169, 6406, 6643, 6880, 7117, 7354, 7591, 7828, 8065, 8302, 8539, 8776, 9013, 9250, 9487, 9724, 9961, 10198, 10435, 10672, 10909, 11146, 11383, 11620, 11857, 12094, 12331, 12568, 12805, 13042, 13279, 13516, 13753, 13990]"
B2_RANDOM_Q,FULL,0.01,exact,8,per_prompt,actual_d,primary,1,[0],60,10,MATCHES_B0_EXACTLY,"[8, 245, 482, 719, 956, 1193, 1430, 1667, 1904, 2141, 2378, 2615, 2852, 3089, 3326, 3563, 3800, 4037, 4274, 4511, 4748, 4985, 5222, 5459, 5696, 5933, 6170, 6407, 6644, 6881, 7118, 7355, 7592, 7829, 8066, 8303, 8540, 8777, 9014, 9251, 9488, 9725, 9962, 10199, 10436, 10673, 10910, 11147, 11384, 11621, 11858, 12095, 12332, 12569, 12806, 13043, 13280, 13517, 13754, 13991]"
