seed,arm,anchor,method,rank_cap,alpha,n,noise,r,k,selection_source,branch,group,pred_delta_pX,true_delta_pX,pred_delta_v,true_delta_v,source_frozen_record
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0,0,-0.001039074561102022,0.0013936138308733095,0.010084179765850807,0.0004040468633587392,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0,1,-0.00669455795629972,0.0013751831977374454,-0.0024861357995815702,0.0004215512776945818,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0,2,-0.0009966938371965394,0.001274874371020987,0.0003460668855559148,0.0005182816526978912,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0,3,0.002974153466054993,0.001252305965580236,0.0030426938435666098,0.0005816937973278855,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0,4,0.004320196551462435,0.0011312137414881847,-0.008345019312823053,0.00047842547115076184,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,0,5,-0.0008861215397152671,0.001128895199230117,0.0002920004588751019,0.0005254560067175507,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,1,0,-0.0010157472775754095,0.001146435231421928,0.009857789351401785,0.0011099273840236266,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,1,1,-0.006544264745996974,0.0011158867743466087,-0.002430321908207895,0.0012028740844992544,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,1,2,-0.0009743180033537287,0.001032169323385932,0.00033829766411527773,0.0012259899818410913,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,1,3,0.0029073835500628836,0.000999733956762577,0.002974385192166006,0.001379922758579219,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,1,4,0.004223207890956906,0.0009332842431051565,-0.00815767315035054,0.0011910367210833616,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,1,5,-0.0008662280602963765,0.0009226182760967762,0.0002854450318161852,0.0013134537079049768,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,2,0,-0.0010157472775754095,0.001146435231421928,0.009857789351401785,0.0011099273840236266,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,2,1,-0.006544264745996974,0.0011158867743466087,-0.002430321908207895,0.0012028740844992544,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,2,2,-0.0009743180033537287,0.001032169323385932,0.00033829766411527773,0.0012259899818410913,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,2,3,0.0029073835500628836,0.000999733956762577,0.002974385192166006,0.001379922758579219,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,2,4,0.004223207890956906,0.0009332842431051565,-0.00815767315035054,0.0011910367210833616,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,2,5,-0.0008662280602963765,0.0009226182760967762,0.0002854450318161852,0.0013134537079049768,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,3,0,-0.0014929395568542628,0.0013784062396472198,0.014488922580205331,-0.00015159358960332067,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,3,1,-0.009618723008686922,0.0013718836837751738,-0.0035720732831437296,-0.0001427074083828056,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,3,2,-0.0014320470458303108,0.0012427664138980113,0.0004972279777649699,-4.3552494790379905e-05,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,3,3,0.004273255764167192,0.0012421900116353784,0.004371734395691278,-1.1140363120223465e-05,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,3,4,0.006207246877666912,0.0010980621928964203,-0.011990101481854162,-9.714289120819203e-05,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,3,5,-0.0012731770638465627,0.001102348645788909,0.00041954548017409613,-6.538364830256198e-05,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,4,0,-0.0026752335103895873,0.0007234662773479688,0.025963041194834818,0.0032809396235646687,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,4,1,-0.01723601602077889,0.0007236926059369803,-0.006400882142053327,0.003253978920179805,83
