method,rank_cap,alpha,n,fit_budget,representation,input_mode,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,5.548249977175462,5.548249977175462,1.0,720,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.008688955179877562,0.002427057712993322,0.006394995810945838,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B1_LOG_RIDGE,0,0.01,exact,8,per_prompt,actual_d,0.0022848504027678067,0.0022848504027678062,0.002284850402767807,0.0022848504027678062,0.0,0.8600887345679012,2.8435401835731384,5.548249977175462,0.7158988667124381,720,0.003703114945403042,0.003703114945403042,0.003703114945403042,0.003703114945403042,0.006520116904386895,0.0013438866088469033,0.003882032029275667,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,0,0.0,exact,8,per_prompt,actual_d,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,5.548249977175462,5.548249977175462,1.0,720,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.008688955179877562,0.002427057712993322,0.006394995810945838,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,1,0.01,exact,8,per_prompt,actual_d,0.0025491250084783614,0.0025491250084783614,0.0025491250084783614,0.002549125008478361,0.0,0.8600887345679012,3.5733548027265303,5.548249977175462,0.8025277527480428,720,0.004151218354275907,0.004151218354275907,0.004151218354275907,0.004151218354275907,0.0073064190296005084,0.0023531383485479083,0.005455166728372464,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,2,0.01,exact,8,per_prompt,actual_d,0.0010478137484597222,0.0010478137484597225,0.0010478137484597222,0.0010478137484597225,0.0,0.8600887345679012,0.7775744480149931,5.548249977175462,0.3743630529819748,720,0.001936459856223119,0.0019364598562231193,0.001936459856223119,0.0019364598562231193,0.0035904894892906905,0.0008359389707852608,0.002529710483671194,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,4,0.01,exact,8,per_prompt,actual_d,0.0007346753958673463,0.0007346753958673462,0.0007346753958673463,0.0007346753958673463,0.0,0.8600887345679012,0.39944167327351965,5.548249977175462,0.2683173006415979,720,0.0013879192331718204,0.0013879192331718204,0.0013879192331718204,0.0013879192331718204,0.0025035547182084205,0.0005352755001665271,0.0020920844063622205,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,8,0.01,exact,8,per_prompt,actual_d,0.000514179315496511,0.000514179315496511,0.000514179315496511,0.000514179315496511,0.0,0.8600887345679012,0.22230141418847213,5.548249977175462,0.20016728690835234,720,0.0010354010967150197,0.00103540109671502,0.0010354010967150197,0.00103540109671502,0.0017484693382082833,0.00035730733465620944,0.0013931115909782202,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,16,0.01,exact,8,per_prompt,actual_d,0.000426004608485215,0.00042600460848521497,0.00042600460848521497,0.00042600460848521497,0.0,0.8600887345679012,0.17003869365930274,5.548249977175462,0.17506360598239648,720,0.0009055478166722157,0.0009055478166722159,0.0009055478166722156,0.0009055478166722159,0.0015305517005088326,0.00028603818459801164,0.0010107818589880455,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,FULL,0.01,exact,8,per_prompt,actual_d,0.00041433002355505767,0.00041433002355505756,0.00041433002355505767,0.00041433002355505756,0.0,0.8600887345679012,0.16440016975020041,5.548249977175462,0.1721365604273845,720,0.000890407149959868,0.0008904071499598682,0.0008904071499598679,0.0008904071499598683,0.001489373619763971,0.00028249106474084653,0.00095618189476184,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B3_UPDATE_PCA,0,0.0,exact,8,per_prompt,actual_d,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,5.548249977175462,5.548249977175462,1.0,720,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.008688955179877562,0.002427057712993322,0.006394995810945838,primary,1,[0],60,10,MATCHES_B0_EXACTLY
