method,rank_cap,alpha,n,fit_budget,representation,input_mode,group,level_pX_mae,level_v_mae,projected_level_pX_mae,projected_level_v_mae,delta_pX_mae,delta_v_mae,delta_pX_q95,delta_v_q95,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,0,0.001031012981254595,0.002653818220769817,0.0010310129812545945,0.0026538182207698174,0.001031012981254595,0.002653818220769817,0.002415107563894735,0.006337517768275261,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,1,0.0010380733302923564,0.002682493193331769,0.0010380733302923558,0.00268249319333177,0.0010380733302923564,0.002682493193331769,0.002427057712993322,0.006306511195453489,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,2,0.0010056442340555798,0.0027069065980697368,0.0010056442340555776,0.002706906598069739,0.0010056442340555798,0.0027069065980697368,0.0023260998003693883,0.0063749792933924495,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,3,0.0010158040448788616,0.002758363693844634,0.0010158040448788577,0.002758363693844636,0.0010158040448788616,0.002758363693844634,0.0023714512844827023,0.006394995810945838,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,4,0.0009525213079671415,0.002675358199704587,0.0009525213079671401,0.002675358199704587,0.0009525213079671415,0.002675358199704587,0.002108164101801905,0.006386512534114926,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,5,0.0009611766479887744,0.002686994295312533,0.0009611766479887722,0.0026869942953125342,0.0009611766479887744,0.002686994295312533,0.00211757882928551,0.006328369681508198,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B1_LOG_RIDGE,0,0.01,exact,8,per_prompt,actual_d,0,0.0005640749873422294,0.0014527205695077116,0.0005640749873422297,0.0014527205695077107,0.0005640749873422293,0.0014527205695077116,0.0013438866088469033,0.0036516466658943893,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B1_LOG_RIDGE,0,0.01,exact,8,per_prompt,actual_d,1,0.0005673399694586292,0.0014729301726558502,0.0005673399694586294,0.0014729301726558498,0.0005673399694586292,0.0014729301726558502,0.00133997838129799,0.0037129828567182273,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B1_LOG_RIDGE,0,0.01,exact,8,per_prompt,actual_d,2,0.0005742406266514219,0.001503061610133991,0.0005742406266514218,0.0015030616101339887,0.0005742406266514219,0.001503061610133991,0.0013406263985358921,0.003748511121090042,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B1_LOG_RIDGE,0,0.01,exact,8,per_prompt,actual_d,3,0.0005820552691611292,0.0015425926819674061,0.0005820552691611283,0.0015425926819674046,0.0005820552691611292,0.0015425926819674061,0.0013339022644162574,0.003882032029275667,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B1_LOG_RIDGE,0,0.01,exact,8,per_prompt,actual_d,4,0.0004699691155060384,0.0014127350483193065,0.0004699691155060384,0.0014127350483193043,0.0004699691155060384,0.001412735048319306,0.0011178463292041715,0.0036860707805299975,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B1_LOG_RIDGE,0,0.01,exact,8,per_prompt,actual_d,5,0.0004765850324927964,0.0014311767211017687,0.00047658503249279574,0.0014311767211017676,0.00047658503249279645,0.0014311767211017687,0.0010676514723559414,0.003666397662910003,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,0,0.0,exact,8,per_prompt,actual_d,0,0.001031012981254595,0.002653818220769817,0.0010310129812545945,0.0026538182207698174,0.001031012981254595,0.002653818220769817,0.002415107563894735,0.006337517768275261,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,0,0.0,exact,8,per_prompt,actual_d,1,0.0010380733302923564,0.002682493193331769,0.0010380733302923558,0.00268249319333177,0.0010380733302923564,0.002682493193331769,0.002427057712993322,0.006306511195453489,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,0,0.0,exact,8,per_prompt,actual_d,2,0.0010056442340555798,0.0027069065980697368,0.0010056442340555776,0.002706906598069739,0.0010056442340555798,0.0027069065980697368,0.0023260998003693883,0.0063749792933924495,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,0,0.0,exact,8,per_prompt,actual_d,3,0.0010158040448788616,0.002758363693844634,0.0010158040448788577,0.002758363693844636,0.0010158040448788616,0.002758363693844634,0.0023714512844827023,0.006394995810945838,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,0,0.0,exact,8,per_prompt,actual_d,4,0.0009525213079671415,0.002675358199704587,0.0009525213079671401,0.002675358199704587,0.0009525213079671415,0.002675358199704587,0.002108164101801905,0.006386512534114926,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,0,0.0,exact,8,per_prompt,actual_d,5,0.0009611766479887744,0.002686994295312533,0.0009611766479887722,0.0026869942953125342,0.0009611766479887744,0.002686994295312533,0.00211757882928551,0.006328369681508198,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,1,0.01,exact,8,per_prompt,actual_d,0,0.0007808366331290985,0.001968201987712958,0.000780836633129099,0.0019682019877129584,0.0007808366331290985,0.0019682019877129576,0.002345495543704559,0.005423754835061184,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,1,0.01,exact,8,per_prompt,actual_d,1,0.0007883741085537826,0.0019882636200853412,0.0007883741085537817,0.001988263620085342,0.0007883741085537826,0.0019882636200853412,0.0023531383485479083,0.0053354180444695224,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,1,0.01,exact,8,per_prompt,actual_d,2,0.0007588147446074213,0.002003875995624308,0.0007588147446074202,0.0020038759956243096,0.0007588147446074215,0.0020038759956243083,0.0022696045493894837,0.005455166728372464,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,1,0.01,exact,8,per_prompt,actual_d,3,0.0007702700497984564,0.002040484829549935,0.0007702700497984531,0.002040484829549937,0.0007702700497984565,0.002040484829549935,0.0022479220107836737,0.005398208290013453,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,1,0.01,exact,8,per_prompt,actual_d,4,0.0007166709054008547,0.0019848281739414035,0.0007166709054008534,0.001984828173941404,0.0007166709054008547,0.0019848281739414035,0.002118832998395096,0.0054360351279844265,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,1,0.01,exact,8,per_prompt,actual_d,5,0.000723265379842469,0.0019916591155544525,0.0007232653798424671,0.001991659115554454,0.000723265379842469,0.0019916591155544525,0.0021201941093966946,0.005405519497194818,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,2,0.01,exact,8,per_prompt,actual_d,0,0.0002614548087088548,0.0007663990826294561,0.0002614548087088552,0.0007663990826294557,0.0002614548087088548,0.0007663990826294561,0.0008317050087159269,0.002500766721337899,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,2,0.01,exact,8,per_prompt,actual_d,1,0.00026306735929495205,0.00078458083157649,0.00026306735929495183,0.0007845808315764913,0.00026306735929495205,0.0007845808315764897,0.0008359389707852608,0.0025140027143630353,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,2,0.01,exact,8,per_prompt,actual_d,2,0.00025695257763064315,0.0007796471109762763,0.000256952577630643,0.0007796471109762762,0.0002569525776306432,0.0007796471109762763,0.0008307369673543038,0.002529710483671194,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,2,0.01,exact,8,per_prompt,actual_d,3,0.0002571902973884209,0.0007994658937677886,0.00025719029738841947,0.0007994658937677891,0.0002571902973884209,0.0007994658937677886,0.0008356830604440133,0.0025234463713107247,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,2,0.01,exact,8,per_prompt,actual_d,4,0.00024088717750395228,0.000763779437627804,0.00024088717750395109,0.0007637794376278045,0.00024088717750395233,0.0007637794376278041,0.0007776015273144803,0.0024807040613690923,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,2,0.01,exact,8,per_prompt,actual_d,5,0.00024039297971489352,0.0007780869636089104,0.00024039297971489265,0.0007780869636089104,0.00024039297971489347,0.0007780869636089103,0.0007768431540832595,0.002505518252220055,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,4,0.01,exact,8,per_prompt,actual_d,0,0.00017088738100682818,0.0005637587612126229,0.00017088738100682867,0.000563758761212623,0.0001708873810068281,0.0005637587612126229,0.0005153774634156889,0.002034428231940749,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,4,0.01,exact,8,per_prompt,actual_d,1,0.0001724976436390375,0.0005720172854284708,0.00017249764363903722,0.0005720172854284709,0.0001724976436390375,0.0005720172854284708,0.0005352755001665271,0.0020526590290880363,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,4,0.01,exact,8,per_prompt,actual_d,2,0.00015737065409727156,0.0005723902408665552,0.00015737065409727102,0.0005723902408665544,0.00015737065409727154,0.0005723902408665553,0.0004797515529336164,0.0019786634766061316,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,4,0.01,exact,8,per_prompt,actual_d,3,0.0001605162462331563,0.000583934319259768,0.00016051624623315553,0.000583934319259768,0.00016051624623315638,0.000583934319259768,0.000513426018557107,0.0020920844063622205,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,4,0.01,exact,8,per_prompt,actual_d,4,0.00014999060004633588,0.0005542637641927353,0.00014999060004633507,0.0005542637641927344,0.00014999060004633593,0.0005542637641927352,0.0004630993328696913,0.001973313251510157,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,4,0.01,exact,8,per_prompt,actual_d,5,0.00015069503571407136,0.0005623123718126002,0.00015069503571407054,0.0005623123718126004,0.00015069503571407133,0.0005623123718126002,0.00046465845938325703,0.001992452393394124,primary,1,[0],60,10,MATCHES_B0_EXACTLY
B2_RANDOM_Q,8,0.01,exact,8,per_prompt,actual_d,0,0.00010616337924040635,0.0003732130551048659,0.00010616337924040628,0.00037321305510486675,0.00010616337924040634,0.0003732130551048659,0.00034338148955598345,0.0013931115909782202,primary,1,[0],60,10,MATCHES_B0_EXACTLY
