seed,arm,anchor,method,rank_cap,alpha,n,noise,fit_budget,representation,input_mode,r,k,branch,group,pred_delta_pX,true_delta_pX,pred_delta_v,true_delta_v
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,0,0,0.0,0.0013936138308733095,-0.0,0.0004040468633587392
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,0,1,0.0,0.0013751831977374454,-0.0,0.0004215512776945818
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,0,2,0.0,0.001274874371020987,-0.0,0.0005182816526978912
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,0,3,0.0,0.001252305965580236,-0.0,0.0005816937973278855
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,0,4,0.0,0.0011312137414881847,-0.0,0.00047842547115076184
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,0,5,0.0,0.001128895199230117,-0.0,0.0005254560067175507
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,1,0,0.0,0.001146435231421928,-0.0,0.0011099273840236266
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,1,1,0.0,0.0011158867743466087,-0.0,0.0012028740844992544
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,1,2,0.0,0.001032169323385932,-0.0,0.0012259899818410913
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,1,3,0.0,0.000999733956762577,-0.0,0.001379922758579219
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,1,4,0.0,0.0009332842431051565,-0.0,0.0011910367210833616
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,1,5,0.0,0.0009226182760967762,-0.0,0.0013134537079049768
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,2,0,0.0,0.001146435231421928,-0.0,0.0011099273840236266
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,2,1,0.0,0.0011158867743466087,-0.0,0.0012028740844992544
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,2,2,0.0,0.001032169323385932,-0.0,0.0012259899818410913
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,2,3,0.0,0.000999733956762577,-0.0,0.001379922758579219
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,2,4,0.0,0.0009332842431051565,-0.0,0.0011910367210833616
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,2,5,0.0,0.0009226182760967762,-0.0,0.0013134537079049768
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,3,0,0.0,0.0013784062396472198,-0.0,-0.00015159358960332067
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,3,1,0.0,0.0013718836837751738,-0.0,-0.0001427074083828056
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,3,2,0.0,0.0012427664138980113,-0.0,-4.3552494790379905e-05
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,3,3,0.0,0.0012421900116353784,-0.0,-1.1140363120223465e-05
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,3,4,0.0,0.0010980621928964203,-0.0,-9.714289120819203e-05
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,3,5,0.0,0.001102348645788909,-0.0,-6.538364830256198e-05
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,4,0,0.0,0.0007234662773479688,-0.0,0.0032809396235646687
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,4,1,0.0,0.0007236926059369803,-0.0,0.003253978920179805
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,4,2,0.0,0.0006634790599761818,-0.0,0.00326609941794459
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,4,3,0.0,0.000651134811768739,-0.0,0.003382364365686281
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,4,4,0.0,0.0006094627390207495,-0.0,0.0033259194060787
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,4,5,0.0,0.0006121258409768973,-0.0,0.003343672893765489
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,5,0,0.0,0.0012421114953220767,-0.0,0.0006107936810340562
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,5,1,0.0,0.0012264876559593477,-0.0,0.0006612081090496408
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,5,2,0.0,0.001132438003858419,-0.0,0.0007168435819076627
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,5,3,0.0,0.001119859745308125,-0.0,0.0008363808478125378
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,5,4,0.0,0.0010049118082738479,-0.0,0.0006674689465665495
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,5,5,0.0,0.0010047844174505677,-0.0,0.0007377882709714567
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,6,0,0.0,0.0013402413857795774,-0.0,-0.001272544718531286
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,6,1,0.0,0.0013691310654786563,-0.0,-0.0013412806921087848
