method,rank_cap,alpha,n,fit_budget,representation,input_mode,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,5.548249977175462,5.548249977175462,1.0,720,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.008688955179877562,0.002427057712993322,0.006394995810945838,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,exact,8,per_prompt,actual_d,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,5.548249977175462,5.548249977175462,1.0,720,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.00517267887628953,0.008688955179877562,0.002427057712993322,0.006394995810945838,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,exact,8,per_prompt,actual_d,0.00041433002355505756,0.0004143300235550574,0.00041433002355505756,0.00041433002355505745,0.0,0.8600887345679012,0.16440016975019983,5.548249977175462,0.1721365604273842,720,0.0008904071499598663,0.0008904071499598665,0.0008904071499598664,0.0008904071499598665,0.0014893736197639682,0.00028249106474084534,0.0009561818947618603,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,0.0006444397158737508,0.0006444397158737507,0.0006444397158737508,0.0006444397158737507,0.0,0.8600887345679012,0.3022380153125264,5.548249977175462,0.2333976797596856,720,0.0012072912478679138,0.0012072912478679138,0.0012072912478679138,0.001207291247867914,0.0020182650411563023,0.0008394571678411029,0.0028185744459315377,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,0.03152341460799367,0.03152341460799367,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,27.741249885877306,27.741249885877306,1.0,3600,0.04179226160480831,0.04179226160480831,0.00517267887628953,0.00517267887628953,0.08396962236622048,0.0024270577129933196,0.006394995810945838,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,64,8,per_prompt,actual_d,0.03152341460799367,0.03152341460799367,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,27.741249885877306,27.741249885877306,1.0,3600,0.04179226160480831,0.04179226160480831,0.00517267887628953,0.00517267887628953,0.08396962236622048,0.0024270577129933196,0.006394995810945838,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,64,8,per_prompt,actual_d,0.012969320319965016,0.012957890418863248,0.0332217836457689,0.033211500177274436,0.007391975308641975,0.8600887345679012,2017.1767758660958,27.741249885877306,8.527249446200024,3600,0.017774861661365268,0.01774607057787384,0.04410872308321045,0.04409881926436977,0.035596089404072294,0.020735742191349382,0.01852030196692792,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,8,per_prompt,actual_d,0.020435590201728727,0.020384658030595935,0.020577271115640325,0.020532743902620932,0.035146604938271604,0.8600887345679012,1033.3882859396776,27.741249885877306,6.103356737388518,3600,0.029721585492242512,0.029619940673870093,0.03157070446994897,0.03147790704420769,0.05671439287133504,0.01605620101064511,0.014227833132486465,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,16,8,per_prompt,actual_d,0.06230282306007569,0.06230282306007569,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,27.741249885877306,27.741249885877306,1.0,3600,0.08311565523368383,0.08311565523368383,0.00517267887628953,0.00517267887628953,0.16776859441756747,0.0024270577129933196,0.006394995810945838,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,16,8,per_prompt,actual_d,0.02595844390781133,0.02584257842094008,0.06618206821785255,0.06607872836361905,0.034764660493827156,0.8600887345679012,8087.923024644777,27.741249885877306,17.074794772287408,3600,0.035574496863663714,0.035318834380081494,0.08832243023558997,0.08822802348196897,0.07119730580838042,0.04492831811749221,0.03875681075950255,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,16,8,per_prompt,actual_d,0.06230282306007569,0.06230282306007569,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,27.741249885877306,27.741249885877306,1.0,3600,0.08311565523368383,0.08311565523368383,0.00517267887628953,0.00517267887628953,0.16776859441756747,0.0024270577129933196,0.006394995810945838,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,8,per_prompt,actual_d,0.041981686063890786,0.041451917082716935,0.03795810111568346,0.03751516778964941,0.14249228395061728,0.8600887345679012,3765.3237010350917,27.741249885877306,11.650327846356474,3600,0.06061368321748367,0.05972118775811892,0.06026340475269582,0.05977299254645641,0.11616889204595186,0.03301123748897446,0.027073544571257314,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,256,8,per_prompt,actual_d,0.016016881590943666,0.016016881590943666,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,27.741249885877306,27.741249885877306,1.0,3600,0.021341675150070082,0.021341675150070082,0.00517267887628953,0.00517267887628953,0.043080302190858885,0.0024270577129933196,0.006394995810945838,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,256,8,per_prompt,actual_d,0.006530988460662435,0.006530163303390937,0.016603637595661292,0.016602874696871474,0.0007908950617283951,0.8600887345679012,504.691734140358,27.741249885877306,4.265304921113936,3600,0.008957552414774576,0.008955900714288211,0.022063052666379833,0.02206246281537655,0.017859947895189257,0.01236647009730295,0.009405331666778588,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,256,8,per_prompt,actual_d,0.016016881590943666,0.016016881590943666,0.00337903322729464,0.00337903322729464,0.0,0.8600887345679012,27.741249885877306,27.741249885877306,1.0,3600,0.021341675150070082,0.021341675150070082,0.00517267887628953,0.00517267887628953,0.043080302190858885,0.0024270577129933196,0.006394995810945838,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,8,per_prompt,actual_d,0.010382378546841086,0.010379028192535894,0.010806941165559884,0.010803896453885518,0.00459104938271605,0.8600887345679012,275.40063805764606,27.741249885877306,3.150790003152112,3600,0.01507956456166532,0.01507355274166008,0.016298024892929152,0.016291903525916727,0.02880023863951369,0.009480155467847815,0.007730674873684429,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
