method,rank_cap,alpha,n,fit_budget,representation,input_mode,group,level_pX_mae,level_v_mae,projected_level_pX_mae,projected_level_v_mae,delta_pX_mae,delta_v_mae,delta_pX_q95,delta_v_q95,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,0,0.001031012981254595,0.002653818220769817,0.0010310129812545945,0.0026538182207698174,0.001031012981254595,0.002653818220769817,0.002415107563894735,0.006337517768275261,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,1,0.0010380733302923564,0.002682493193331769,0.0010380733302923558,0.00268249319333177,0.0010380733302923564,0.002682493193331769,0.002427057712993322,0.006306511195453489,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,2,0.0010056442340555798,0.0027069065980697368,0.0010056442340555776,0.002706906598069739,0.0010056442340555798,0.0027069065980697368,0.0023260998003693883,0.0063749792933924495,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,3,0.0010158040448788616,0.002758363693844634,0.0010158040448788577,0.002758363693844636,0.0010158040448788616,0.002758363693844634,0.0023714512844827023,0.006394995810945838,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,4,0.0009525213079671415,0.002675358199704587,0.0009525213079671401,0.002675358199704587,0.0009525213079671415,0.002675358199704587,0.002108164101801905,0.006386512534114926,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,5,0.0009611766479887744,0.002686994295312533,0.0009611766479887722,0.0026869942953125342,0.0009611766479887744,0.002686994295312533,0.00211757882928551,0.006328369681508198,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,exact,8,per_prompt,actual_d,0,0.001031012981254595,0.002653818220769817,0.0010310129812545945,0.0026538182207698174,0.001031012981254595,0.002653818220769817,0.002415107563894735,0.006337517768275261,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,exact,8,per_prompt,actual_d,1,0.0010380733302923564,0.002682493193331769,0.0010380733302923558,0.00268249319333177,0.0010380733302923564,0.002682493193331769,0.002427057712993322,0.006306511195453489,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,exact,8,per_prompt,actual_d,2,0.0010056442340555798,0.0027069065980697368,0.0010056442340555776,0.002706906598069739,0.0010056442340555798,0.0027069065980697368,0.0023260998003693883,0.0063749792933924495,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,exact,8,per_prompt,actual_d,3,0.0010158040448788616,0.002758363693844634,0.0010158040448788577,0.002758363693844636,0.0010158040448788616,0.002758363693844634,0.0023714512844827023,0.006394995810945838,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,exact,8,per_prompt,actual_d,4,0.0009525213079671415,0.002675358199704587,0.0009525213079671401,0.002675358199704587,0.0009525213079671415,0.002675358199704587,0.002108164101801905,0.006386512534114926,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,exact,8,per_prompt,actual_d,5,0.0009611766479887744,0.002686994295312533,0.0009611766479887722,0.0026869942953125342,0.0009611766479887744,0.002686994295312533,0.00211757882928551,0.006328369681508198,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,exact,8,per_prompt,actual_d,0,8.3270964005773e-05,0.00027673680712348814,8.327096400577257e-05,0.00027673680712348803,8.3270964005773e-05,0.0002767368071234881,0.00027496507244619185,0.0009354715521203956,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,exact,8,per_prompt,actual_d,1,8.53273387950192e-05,0.0002787557372651134,8.532733879501767e-05,0.000278755737265113,8.532733879501924e-05,0.00027875573726511343,0.00028249106474084534,0.0009561818947618603,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,exact,8,per_prompt,actual_d,2,6.838431604386983e-05,0.0002842879761560264,6.838431604386966e-05,0.000284287976156025,6.838431604386988e-05,0.00028428797615602644,0.0002099235517146749,0.0009404808442978493,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,exact,8,per_prompt,actual_d,3,7.079036445264679e-05,0.00028808344002929155,7.07903644526456e-05,0.0002880834400292916,7.079036445264676e-05,0.0002880834400292915,0.00020785378499374135,0.0009533441552426045,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,exact,8,per_prompt,actual_d,4,6.507020199287261e-05,0.0002702870649689904,6.507020199287135e-05,0.00027028706496898903,6.507020199287255e-05,0.0002702870649689904,0.00022123045826545837,0.0009102832712650099,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,exact,8,per_prompt,actual_d,5,6.720034874635049e-05,0.00027357796466007117,6.720034874634983e-05,0.00027357796466007117,6.720034874635049e-05,0.0002735779646600712,0.0002205332098199316,0.0009361167571453238,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,0,0.0002157142526742242,0.0007183233466823281,0.00021571425267422452,0.0007183233466823287,0.0002157142526742242,0.0007183233466823282,0.0008394571678411029,0.0027494783379350177,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,1,0.0002203901268531703,0.0007187939212977117,0.0002203901268531697,0.0007187939212977121,0.00022039012685317027,0.0007187939212977115,0.0008337190860418411,0.002734107862864914,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,2,0.00018741657438285314,0.0007215896817510924,0.0001874165743828535,0.0007215896817510922,0.00018741657438285308,0.0007215896817510924,0.0007565690049092331,0.002727412225570117,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,3,0.00019641316088361895,0.0007231274746373715,0.0001964131608836182,0.0007231274746373711,0.00019641316088361892,0.0007231274746373713,0.0007786039167326983,0.002724504918841346,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,4,0.00019162827479405215,0.000719380062734558,0.00019162827479405026,0.0007193800627345586,0.0001916282747940521,0.000719380062734558,0.0007683167382967464,0.002807774260973869,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,5,0.00019912918318253705,0.0007204585616552053,0.00019912918318253558,0.0007204585616552061,0.00019912918318253697,0.0007204585616552053,0.0007755534998202862,0.0028185744459315377,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,0,0.00756682570844688,0.0063224813438826225,0.00756682570844688,0.0063224813438826225,0.001031012981254595,0.002653818220769817,0.002415107563894735,0.006337517768275261,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,1,0.0075636675916795635,0.0061287588721919105,0.0075636675916795635,0.0061287588721919105,0.0010380733302923564,0.0026824931933317696,0.0024270577129933196,0.0063065111954534805,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,2,0.008293318196481147,0.006584102242010126,0.008293318196481147,0.006584102242010126,0.0010056442340555798,0.0027069065980697363,0.0023260998003693883,0.006374979293392444,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,3,0.007810886079651469,0.006629211831185826,0.007810886079651469,0.006629211831185826,0.0010158040448788616,0.002758363693844634,0.002371451284482701,0.006394995810945838,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,4,0.007459336257835549,0.006193003645970568,0.007459336257835549,0.006193003645970568,0.0009525213079671415,0.002675358199704587,0.002108164101801902,0.006386512534114926,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,5,0.007263868612395263,0.006535938360517771,0.007263868612395263,0.006535938360517771,0.0009611766479887744,0.0026869942953125334,0.002117578829285509,0.0063283696815081975,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,64,8,per_prompt,actual_d,0,0.00756682570844688,0.0063224813438826225,0.00756682570844688,0.0063224813438826225,0.001031012981254595,0.002653818220769817,0.002415107563894735,0.006337517768275261,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
