method,rank_cap,alpha,n,fit_budget,representation,input_mode,seed,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,panel,noise_replicas
B0_PERSISTENCE,0,0.0,exact,8,per_prompt,actual_d,301,0.003546245201398124,0.003546245201398124,0.003546245201398124,0.003546245201398124,0.0,0.871141975308642,0.5315488613558021,0.5315488613558021,1.0,72,0.005063013716866082,0.005063013716866083,0.005063013716866082,0.005063013716866083,0.008753808702271543,0.002522036293010236,0.0063888282515328606,robust,1
B5_WORST_GROUP_RANK,0,0.0,exact,8,per_prompt,actual_d,301,0.003546245201398124,0.003546245201398124,0.003546245201398124,0.003546245201398124,0.0,0.871141975308642,0.5315488613558021,0.5315488613558021,1.0,72,0.005063013716866082,0.005063013716866083,0.005063013716866082,0.005063013716866083,0.008753808702271543,0.002522036293010236,0.0063888282515328606,robust,1
B6_FULL_Q_RIDGE,FULL,0.01,exact,8,per_prompt,actual_d,301,0.00041870969306495825,0.0004187096930649578,0.0004187096930649585,0.0004187096930649579,0.0,0.871141975308642,0.0123403871305918,0.5315488613558021,0.1523676593393106,72,0.0007714395492417077,0.0007714395492417077,0.0007714395492417081,0.0007714395492417077,0.0013197834597995224,0.0003141445941955135,0.0011494281034785073,robust,1
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,301,0.0005805225858556204,0.0005805225858556198,0.0005805225858556205,0.0005805225858556199,0.0,0.871141975308642,0.023097789244706114,0.5315488613558021,0.2084556213421934,72,0.001055413670213367,0.0010554136702133673,0.001055413670213367,0.0010554136702133675,0.0018579102423507722,0.0007294909983117084,0.0026628465505396143,robust,1
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,301,0.03166185010079425,0.03166185010079425,0.003546245201398124,0.003546245201398124,0.0,0.871141975308642,2.6577443067790107,2.6577443067790107,1.0,360,0.04189412498143023,0.04189412498143023,0.005063013716866082,0.005063013716866082,0.08338931270520904,0.002559452977113579,0.006602232756602269,robust,5
B5_WORST_GROUP_RANK,0,0.0,64,8,per_prompt,actual_d,301,0.03166185010079425,0.03166185010079425,0.003546245201398124,0.003546245201398124,0.0,0.871141975308642,2.6577443067790107,2.6577443067790107,1.0,360,0.04189412498143023,0.04189412498143023,0.005063013716866082,0.005063013716866082,0.08338931270520904,0.002559452977113579,0.006602232756602269,robust,5
B6_FULL_Q_RIDGE,FULL,0.01,64,8,per_prompt,actual_d,301,0.013492252472795552,0.013489826540754674,0.03351768811202214,0.033516174279456815,0.00798611111111111,0.871141975308642,204.0570319503065,2.6577443067790107,8.762321511318339,360,0.018080662544555478,0.018078962068874084,0.04436375400339549,0.04436260287352043,0.03656625320045563,0.021717744130920136,0.022844289180917236,robust,5
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,8,per_prompt,actual_d,301,0.017800686206895802,0.017786857657305002,0.027343651145646575,0.027329382126187088,0.014274691358024692,0.871141975308642,154.40256466616313,2.6577443067790107,7.622030049862199,360,0.025645099237811955,0.025622267604064518,0.038590442692817785,0.038573801322526025,0.0487352346483503,0.02139453903840401,0.021786617543912448,robust,5
B0_PERSISTENCE,0,0.0,16,8,per_prompt,actual_d,301,0.06214961901409415,0.06214961901409415,0.003546245201398124,0.003546245201398124,0.0,0.871141975308642,2.6577443067790107,2.6577443067790107,1.0,360,0.0832041093945816,0.0832041093945816,0.005063013716866082,0.005063013716866082,0.16740392202566015,0.002559452977113579,0.006602232756602269,robust,5
B6_FULL_Q_RIDGE,FULL,0.01,16,8,per_prompt,actual_d,301,0.02702489745738925,0.026987443431925585,0.06649478929236007,0.06646729465896575,0.03641975308641975,0.871141975308642,813.1691381176238,2.6577443067790107,17.491773521261017,360,0.03627557155252805,0.0362422659276567,0.08856108927045947,0.08854322368609972,0.07327985119260162,0.057728793467730036,0.04007471639120654,robust,5
B5_WORST_GROUP_RANK,0,0.0,16,8,per_prompt,actual_d,301,0.06214961901409415,0.06214961901409415,0.003546245201398124,0.003546245201398124,0.0,0.871141975308642,2.6577443067790107,2.6577443067790107,1.0,360,0.0832041093945816,0.0832041093945816,0.005063013716866082,0.005063013716866082,0.16740392202566015,0.002559452977113579,0.006602232756602269,robust,5
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,8,per_prompt,actual_d,301,0.036057283502527175,0.03587303017361776,0.052007715772273894,0.05184747678542509,0.0736496913580247,0.871141975308642,591.8273965966592,2.6577443067790107,14.922477559443562,360,0.05176972272196595,0.05148961457406868,0.07555270857308906,0.07543208693796007,0.09945002579441053,0.056935577157679655,0.034832783696761134,robust,5
B0_PERSISTENCE,0,0.0,256,8,per_prompt,actual_d,301,0.016162771080770046,0.016162771080770046,0.003546245201398124,0.003546245201398124,0.0,0.871141975308642,2.6577443067790107,2.6577443067790107,1.0,360,0.02148475814984028,0.02148475814984028,0.005063013716866082,0.005063013716866082,0.042882646273503855,0.002559452977113579,0.006602232756602269,robust,5
