method,rank_cap,alpha,n,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max
B0_PERSISTENCE,0,0.0,exact,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0,0.878954475308642,1.6924620366648147,1.6924620366648147,1.0,288,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.007729590618845673,0.002107057053355212,0.00638952001585659
B0_PERSISTENCE,0,0.0,64,0.031253689176698976,0.031253689176698976,0.0030029829236324127,0.0030029829236324127,0.0,0.8789544753086419,5.0773861099944435,5.0773861099944435,1.0,864,0.041518638177202395,0.041518638177202395,0.004517175668572865,0.004517175668572865,0.0832599613232569,0.002115697345132391,0.006396159333725324
B1_LOG_RIDGE,0,0.0,exact,0.003174403168331033,0.0031379140193221675,0.003174403168331033,0.0031379140193221675,0.033854166666666664,0.878954475308642,2.693669133744791,1.6924620366648147,1.2615737879514828,288,0.0056987504190437405,0.0056360129323732265,0.0056987504190437405,0.0056360129323732265,0.008980861948690098,0.0016547275367970223,0.0037905117653183598
B1_LOG_RIDGE,0,1e-08,exact,0.002358463697535859,0.0023579672147912276,0.002358463697535859,0.0023579672147912276,0.0036651234567901237,0.878954475308642,1.3508828632116952,1.6924620366648147,0.893407056261537,288,0.004035676616675923,0.004035019965038187,0.004035676616675923,0.004035019965038187,0.006664202427897834,0.0012566108955481417,0.0035641999601530115
B1_LOG_RIDGE,0,1e-05,exact,0.0016545272093526004,0.0016545272093526002,0.0016545272093526002,0.0016545272093526002,0.0,0.878954475308642,0.6613980925289923,1.6924620366648147,0.6251323892823974,288,0.002823832818503266,0.0028238328185032657,0.002823832818503266,0.0028238328185032657,0.00513601629387,0.0012349426789856684,0.002461262797371373
B1_LOG_RIDGE,0,0.01,exact,0.0019675684057111325,0.0019675655106701556,0.0019675684057111325,0.0019675655106701556,4.8225308641975306e-05,0.878954475308642,0.7855904160849534,1.6924620366648147,0.6813003630248253,288,0.0030775534228456003,0.0030775519657075465,0.0030775534228456003,0.0030775519657075465,0.005496814694739764,0.0013612527888383777,0.0035801523567676502
B1_LOG_RIDGE,0,0.0,64,0.04829089313060292,0.0460307660716731,0.038447286767966854,0.036272029845364755,0.2720711162551441,0.8789544753086419,664.202553736701,5.0773861099944435,11.437475459000295,864,0.06400980912232485,0.06138052043027389,0.051665085853295385,0.04935936370263064,0.12732764694831877,0.024728948500080963,0.021449057221958726
B1_LOG_RIDGE,0,1e-08,64,0.04827753439338964,0.04601977295467729,0.03843035640624454,0.036257410218989955,0.27195859053497945,0.8789544753086419,663.5988399010855,5.0773861099944435,11.432276343244046,864,0.06399150911709223,0.06136549983887542,0.05164160053410316,0.049338910711209785,0.1272927357113053,0.02471539207888083,0.021446842974697667
B1_LOG_RIDGE,0,1e-05,64,0.04203449487225039,0.04076192948416166,0.029925044192790472,0.02871112497469584,0.22085583847736626,0.8789544753086419,399.2507571169723,5.0773861099944435,8.867532296470433,864,0.055548174068667924,0.05422768381734881,0.0400562011299003,0.03893710087142532,0.11095261210551183,0.0189749444999646,0.018260894823989012
B1_LOG_RIDGE,0,0.01,64,0.03229849751965056,0.03210664917019937,0.009033683339799526,0.008888253098956826,0.12490354938271606,0.8789544753086419,37.111966643881715,5.0773861099944435,2.7035654593988236,864,0.042871726446305186,0.04274518238263093,0.012212480111590384,0.01213045888259437,0.0861027993533011,0.005457501163135577,0.007777372173761659
B2_RANDOM_Q,0,0.0,exact,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0,0.878954475308642,1.6924620366648147,1.6924620366648147,1.0,288,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.007729590618845673,0.002107057053355212,0.00638952001585659
B2_RANDOM_Q,0,1e-08,exact,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0,0.878954475308642,1.6924620366648147,1.6924620366648147,1.0,288,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.007729590618845673,0.002107057053355212,0.00638952001585659
B2_RANDOM_Q,0,1e-05,exact,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0,0.878954475308642,1.6924620366648147,1.6924620366648147,1.0,288,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.007729590618845673,0.002107057053355212,0.00638952001585659
B2_RANDOM_Q,0,0.01,exact,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0030029829236324127,0.0,0.878954475308642,1.6924620366648147,1.6924620366648147,1.0,288,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.004517175668572865,0.007729590618845673,0.002107057053355212,0.00638952001585659
B2_RANDOM_Q,0,0.0,64,0.031253689176698976,0.031253689176698976,0.0030029829236324127,0.0030029829236324127,0.0,0.8789544753086419,5.0773861099944435,5.0773861099944435,1.0,864,0.041518638177202395,0.041518638177202395,0.004517175668572865,0.004517175668572865,0.0832599613232569,0.002115697345132391,0.006396159333725324
B2_RANDOM_Q,0,1e-08,64,0.031253689176698976,0.031253689176698976,0.0030029829236324127,0.0030029829236324127,0.0,0.8789544753086419,5.0773861099944435,5.0773861099944435,1.0,864,0.041518638177202395,0.041518638177202395,0.004517175668572865,0.004517175668572865,0.0832599613232569,0.002115697345132391,0.006396159333725324
B2_RANDOM_Q,0,1e-05,64,0.031253689176698976,0.031253689176698976,0.0030029829236324127,0.0030029829236324127,0.0,0.8789544753086419,5.0773861099944435,5.0773861099944435,1.0,864,0.041518638177202395,0.041518638177202395,0.004517175668572865,0.004517175668572865,0.0832599613232569,0.002115697345132391,0.006396159333725324
B2_RANDOM_Q,0,0.01,64,0.031253689176698976,0.031253689176698976,0.0030029829236324127,0.0030029829236324127,0.0,0.8789544753086419,5.0773861099944435,5.0773861099944435,1.0,864,0.041518638177202395,0.041518638177202395,0.004517175668572865,0.004517175668572865,0.0832599613232569,0.002115697345132391,0.006396159333725324
B2_RANDOM_Q,1,0.0,exact,0.0023978601801392333,0.0023978601801392333,0.0023978601801392333,0.0023978601801392333,0.0,0.878954475308642,1.1904077550636527,1.6924620366648147,0.8386647814232595,288,0.0037883961447341273,0.0037883961447341273,0.0037883961447341273,0.0037883961447341273,0.006393598111116652,0.0021106630277405026,0.005055490371828709
B2_RANDOM_Q,1,1e-08,exact,0.0023978601841846735,0.0023978601841846735,0.0023978601841846735,0.0023978601841846735,0.0,0.878954475308642,1.1904077572496365,1.6924620366648147,0.838664782193293,288,0.0037883961482125038,0.0037883961482125038,0.0037883961482125038,0.0037883961482125038,0.006393598108400185,0.0021106630219600033,0.0050554903758701615
B2_RANDOM_Q,1,1e-05,exact,0.0023978642255385475,0.002397864225538548,0.002397864225538548,0.002397864225538548,0.0,0.878954475308642,1.1904099410540248,1.6924620366648147,0.8386655514586898,288,0.003788399623119437,0.0037883996231194367,0.003788399623119437,0.0037883996231194367,0.0063935953946738875,0.0021106572472983872,0.005055494413240842
B2_RANDOM_Q,1,0.01,exact,0.0024018718135940284,0.0024018718135940284,0.002401871813594029,0.0024018718135940284,0.0,0.878954475308642,1.192599882614756,1.6924620366648147,0.8394366239142877,288,0.0037918826928545705,0.0037918826928545705,0.003791882692854571,0.0037918826928545705,0.006396616963590632,0.0021049397604927475,0.0050594918099940165
B2_RANDOM_Q,1,0.0,64,0.02572641002537743,0.02570497162917514,0.011409710719222534,0.011396261347045878,0.025109310699588477,0.8789544753086419,83.45127033847203,5.0773861099944435,4.054117958506107,864,0.03590780946028379,0.03586967325723024,0.018313162999688076,0.018298493777857954,0.0700919501204019,0.010560804997199627,0.008572952958489565
B2_RANDOM_Q,1,1e-08,64,0.025726410053170636,0.025704971657390902,0.011409710616396083,0.011396261244595614,0.025109310699588477,0.8789544753086419,83.4512687474358,5.0773861099944435,4.05411791985931,864,0.03590780947559965,0.035869673273423934,0.018313162825113707,0.018298493603786128,0.07009195017999885,0.010560804901726808,0.008572952909672367
