method,rank_cap,n,selection_source,seed,arm,anchor,elapsed_step,group,event,truth,raw_prediction,envelope_lower,envelope_upper,envelope_label
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,exact model-selection paid observations,301,X_BASE,8,1,0,pX,0.07149078128656743,0.07141241691297497,-0.012730871448764225,0.15555570527471416,EMPIRICAL_CALIBRATED_ENVELOPE
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,exact model-selection paid observations,301,X_BASE,8,1,0,v,0.8501832585897245,0.849822388758612,0.7656791003968728,0.9339656771203513,EMPIRICAL_CALIBRATED_ENVELOPE
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,exact model-selection paid observations,301,X_BASE,8,1,1,pX,0.07133630361975751,0.07127045541306959,-0.012872832948669602,0.15541374377480877,EMPIRICAL_CALIBRATED_ENVELOPE
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,exact model-selection paid observations,301,X_BASE,8,1,1,v,0.8509066403078489,0.8505648272931805,0.7664215389314413,0.9347081156549197,EMPIRICAL_CALIBRATED_ENVELOPE
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,exact model-selection paid observations,301,X_BASE,8,1,2,pX,0.06916128353492422,0.06908317619729062,-0.015060112164448566,0.15322646455902983,EMPIRICAL_CALIBRATED_ENVELOPE
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,exact model-selection paid observations,301,X_BASE,8,1,2,v,0.8507245662239342,0.8503293383857862,0.7661860500240469,0.9344726267475254,EMPIRICAL_CALIBRATED_ENVELOPE
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,exact model-selection paid observations,301,X_BASE,8,1,3,pX,0.06921558841864,0.06915145369374015,-0.01499183466799904,0.15329474205547933,EMPIRICAL_CALIBRATED_ENVELOPE
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,exact model-selection paid observations,301,X_BASE,8,1,3,v,0.8508711528688535,0.85049076217499,0.7663474738132507,0.9346340505367292,EMPIRICAL_CALIBRATED_ENVELOPE
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,exact model-selection paid observations,301,X_BASE,8,1,4,pX,0.0685528331064338,0.06847975122167045,-0.01566353714006874,0.15262303958340964,EMPIRICAL_CALIBRATED_ENVELOPE
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,exact model-selection paid observations,301,X_BASE,8,1,4,v,0.8508035346206148,0.8504433242571466,0.7663000358954074,0.9345866126188859,EMPIRICAL_CALIBRATED_ENVELOPE
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,exact model-selection paid observations,301,X_BASE,8,1,5,pX,0.06866643063263451,0.06860148386970677,-0.015541804492032421,0.15274477223144595,EMPIRICAL_CALIBRATED_ENVELOPE
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,exact model-selection paid observations,301,X_BASE,8,1,5,v,0.8514935404343136,0.8511468467805786,0.7670035584188394,0.9352901351423178,EMPIRICAL_CALIBRATED_ENVELOPE
