method,rank_cap,n,telemetry,H,noise,fit_budget,representation,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,projected_response_nrmse
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_PATH,1,0,8,per_prompt_helmert,0.0033642334692082962,0.0033642334692082962,0.0033642334692082962,0.0033642334692082962,0.0,0.861111111111111,0.4918481073406968,0.4918481073406968,1.0,60,0.00533511313261226,0.00533511313261226,0.00533511313261226,0.00533511313261226,0.008217909515418764,0.0024693497204108005,0.006926911312658642,1.0
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_NET_DISPLACEMENT,1,0,8,per_prompt_helmert,0.0033642334692082962,0.0033642334692082962,0.0033642334692082962,0.0033642334692082962,0.0,0.861111111111111,0.4918481073406968,0.4918481073406968,1.0,60,0.00533511313261226,0.00533511313261226,0.00533511313261226,0.00533511313261226,0.008217909515418764,0.0024693497204108005,0.006926911312658642,1.0
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_PATH,2,0,8,per_prompt_helmert,0.005034320372816898,0.005034320372816898,0.005034320372816898,0.005034320372816898,0.0,0.7519675925925926,2.465428886064776,2.465428886064776,1.0,120,0.008446161339874412,0.008446161339874412,0.008446161339874412,0.008446161339874412,0.014849209636528114,0.003959418605426357,0.01231601116383492,1.0
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_NET_DISPLACEMENT,2,0,8,per_prompt_helmert,0.005034320372816898,0.005034320372816898,0.005034320372816898,0.005034320372816898,0.0,0.7519675925925926,2.465428886064776,2.465428886064776,1.0,120,0.008446161339874412,0.008446161339874412,0.008446161339874412,0.008446161339874412,0.014849209636528114,0.003959418605426357,0.01231601116383492,1.0
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_PATH,4,0,8,per_prompt_helmert,0.008389477989398026,0.008389477989398026,0.008389477989398026,0.008389477989398026,0.0,0.5991319444444444,14.816577127474233,14.816577127474233,1.0,240,0.014641045095792275,0.014641045095792275,0.014641045095792275,0.014641045095792275,0.026505590848891085,0.007461223234952057,0.020069429359712128,1.0
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_NET_DISPLACEMENT,4,0,8,per_prompt_helmert,0.008389477989398026,0.008389477989398026,0.008389477989398026,0.008389477989398026,0.0,0.5991319444444444,14.816577127474233,14.816577127474233,1.0,240,0.014641045095792275,0.014641045095792275,0.014641045095792275,0.014641045095792275,0.026505590848891085,0.007461223234952057,0.020069429359712128,1.0
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_PATH,8,0,8,per_prompt_helmert,0.014685212990284373,0.014685212990284373,0.014685212990284373,0.014685212990284373,0.0,0.42890625,92.91184834570944,92.91184834570944,1.0,480,0.025924995360563446,0.025924995360563446,0.025924995360563446,0.025924995360563446,0.047891022697798075,0.01361621754488682,0.03488298395834241,1.0
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_NET_DISPLACEMENT,8,0,8,per_prompt_helmert,0.014685212990284373,0.014685212990284373,0.014685212990284373,0.014685212990284373,0.0,0.42890625,92.91184834570944,92.91184834570944,1.0,480,0.025924995360563446,0.025924995360563446,0.025924995360563446,0.025924995360563446,0.047891022697798075,0.01361621754488682,0.03488298395834241,1.0
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_PATH,16,0,8,per_prompt_helmert,0.02578795374455149,0.02578795374455149,0.02578795374455149,0.02578795374455149,0.0,0.2827835648148148,563.2676744577017,563.2676744577017,1.0,960,0.04513625824830604,0.04513625824830604,0.04513625824830604,0.04513625824830604,0.08533134128873542,0.026053725492568663,0.05271559942965776,1.0
B5_WORST_GROUP_RANK,0,exact,PROJECTION_AND_NET_DISPLACEMENT,16,0,8,per_prompt_helmert,0.02578795374455149,0.02578795374455149,0.02578795374455149,0.02578795374455149,0.0,0.2827835648148148,563.2676744577017,563.2676744577017,1.0,960,0.04513625824830604,0.04513625824830604,0.04513625824830604,0.04513625824830604,0.08533134128873542,0.026053725492568663,0.05271559942965776,1.0
B5_WORST_GROUP_RANK,1,exact,PROJECTION_AND_PATH,1,0,8,per_prompt_helmert,0.0006166243171118331,0.0006166243171118333,0.0006166243171118331,0.0006166243171118333,0.0,0.861111111111111,0.017791844574240535,0.4918481073406968,0.19019320010557544,60,0.0010147022396168072,0.0010147022396168072,0.001014702239616807,0.0010147022396168072,0.0015097156674175373,0.0008779749119433744,0.0022219070963390443,0.1901932001055755
