method,rank_cap,n,telemetry,H,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,projected_response_nrmse,fit_budget,representation,meets_tolerance,tolerance_status,r_mean,k_mean,failure_rate,uninformative_response_step_fraction,subspace_exit_failure_rate,subspace_U_exit_failure_rate,rare_event_failure_rate,unobserved_condition_failure_rate,curvature_failure_rate,curvature_joint_failure_rate,Q_exit_gt020_fraction,U_exit_gt020_fraction,raw_level_seed_cluster_coverage,raw_level_window_coverage,raw_level_envelope_width,raw_delta_seed_cluster_coverage,raw_delta_window_coverage,raw_delta_envelope_width,projected_level_seed_cluster_coverage,projected_level_window_coverage,projected_level_envelope_width,projected_delta_seed_cluster_coverage,projected_delta_window_coverage,projected_delta_envelope_width,largest_tested_H_meeting_tolerance
B0_PERSISTENCE,0,exact,PROJECTION_AND_PATH,1,0.0033642334692082962,0.0033642334692082962,0.0033642334692082962,0.0033642334692082962,0.0,0.861111111111111,0.4918481073406968,0.4918481073406968,1.0,60,0.00533511313261226,0.00533511313261226,0.00533511313261226,0.00533511313261226,0.008217909515418764,0.0024693497204108005,0.006926911312658642,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.7833333333333333,1.0,0.0,0.0,0.0,0.0,0.7833333333333333,1.0,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351963,1.0,1.0,0.08008920106351963,
B0_PERSISTENCE,0,exact,PROJECTION_AND_NET_DISPLACEMENT,1,0.0033642334692082962,0.0033642334692082962,0.0033642334692082962,0.0033642334692082962,0.0,0.861111111111111,0.4918481073406968,0.4918481073406968,1.0,60,0.00533511313261226,0.00533511313261226,0.00533511313261226,0.00533511313261226,0.008217909515418764,0.0024693497204108005,0.006926911312658642,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.7833333333333333,1.0,0.0,0.0,0.0,0.0,0.7833333333333333,1.0,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351963,1.0,1.0,0.08008920106351963,
B0_PERSISTENCE,0,exact,PROJECTION_AND_PATH,2,0.005034320372816898,0.005034320372816898,0.005034320372816898,0.005034320372816898,0.0,0.7519675925925926,2.465428886064776,2.465428886064776,1.0,120,0.008446161339874412,0.008446161339874412,0.008446161339874412,0.008446161339874412,0.014849209636528114,0.003959418605426357,0.01231601116383492,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.8083333333333333,1.0,0.0,0.0,0.0,0.0,0.8083333333333333,1.0,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351963,1.0,1.0,0.08008920106351963,
B0_PERSISTENCE,0,exact,PROJECTION_AND_NET_DISPLACEMENT,2,0.005034320372816898,0.005034320372816898,0.005034320372816898,0.005034320372816898,0.0,0.7519675925925926,2.465428886064776,2.465428886064776,1.0,120,0.008446161339874412,0.008446161339874412,0.008446161339874412,0.008446161339874412,0.014849209636528114,0.003959418605426357,0.01231601116383492,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.8083333333333333,1.0,0.0,0.0,0.0,0.0,0.8083333333333333,1.0,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351963,1.0,1.0,0.08008920106351963,
B0_PERSISTENCE,0,exact,PROJECTION_AND_PATH,4,0.008389477989398026,0.008389477989398026,0.008389477989398026,0.008389477989398026,0.0,0.5991319444444444,14.816577127474233,14.816577127474233,1.0,240,0.014641045095792275,0.014641045095792275,0.014641045095792275,0.014641045095792275,0.026505590848891085,0.007461223234952057,0.020069429359712128,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.8708333333333333,1.0,0.0,0.0,0.0,0.0,0.8708333333333333,1.0,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351963,1.0,1.0,0.08008920106351963,
B0_PERSISTENCE,0,exact,PROJECTION_AND_NET_DISPLACEMENT,4,0.008389477989398026,0.008389477989398026,0.008389477989398026,0.008389477989398026,0.0,0.5991319444444444,14.816577127474233,14.816577127474233,1.0,240,0.014641045095792275,0.014641045095792275,0.014641045095792275,0.014641045095792275,0.026505590848891085,0.007461223234952057,0.020069429359712128,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.8708333333333333,1.0,0.0,0.0,0.0,0.0,0.8708333333333333,1.0,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351963,1.0,1.0,0.08008920106351963,
B0_PERSISTENCE,0,exact,PROJECTION_AND_PATH,8,0.014685212990284373,0.014685212990284373,0.014685212990284373,0.014685212990284373,0.0,0.42890625,92.91184834570944,92.91184834570944,1.0,480,0.025924995360563446,0.025924995360563446,0.025924995360563446,0.025924995360563446,0.047891022697798075,0.01361621754488682,0.03488298395834241,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.9291666666666667,1.0,0.0,0.0,0.014583333333333334,0.014583333333333334,0.9291666666666667,1.0,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351963,1.0,1.0,0.08008920106351963,
B0_PERSISTENCE,0,exact,PROJECTION_AND_NET_DISPLACEMENT,8,0.014685212990284373,0.014685212990284373,0.014685212990284373,0.014685212990284373,0.0,0.42890625,92.91184834570944,92.91184834570944,1.0,480,0.025924995360563446,0.025924995360563446,0.025924995360563446,0.025924995360563446,0.047891022697798075,0.01361621754488682,0.03488298395834241,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.9291666666666667,1.0,0.0,0.0,0.014583333333333334,0.014583333333333334,0.9291666666666667,1.0,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351963,1.0,1.0,0.08008920106351963,
B0_PERSISTENCE,0,exact,PROJECTION_AND_PATH,16,0.02578795374455149,0.02578795374455149,0.02578795374455149,0.02578795374455149,0.0,0.2827835648148148,563.2676744577017,563.2676744577017,1.0,960,0.04513625824830604,0.04513625824830604,0.04513625824830604,0.04513625824830604,0.08533134128873542,0.026053725492568663,0.05271559942965776,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.9645833333333333,1.0,0.0,0.0,0.24166666666666667,0.24166666666666667,0.9645833333333333,1.0,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351963,1.0,1.0,0.08008920106351963,
B0_PERSISTENCE,0,exact,PROJECTION_AND_NET_DISPLACEMENT,16,0.02578795374455149,0.02578795374455149,0.02578795374455149,0.02578795374455149,0.0,0.2827835648148148,563.2676744577017,563.2676744577017,1.0,960,0.04513625824830604,0.04513625824830604,0.04513625824830604,0.04513625824830604,0.08533134128873542,0.026053725492568663,0.05271559942965776,1.0,8,per_prompt_helmert,False,EXCEEDS_MODEL_TOLERANCE,0.0,15.016666666666667,1.0,0.0,0.9645833333333333,1.0,0.0,0.0,0.24166666666666667,0.24166666666666667,0.9645833333333333,1.0,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351965,1.0,1.0,0.08008920106351963,1.0,1.0,0.08008920106351963,
