method,view,n,pX,v,rmse,mass_rms
O_CRN,helmert,16,8.691495178838371,2.066140046525184,0.011247370303728329,0.0
O_CRN,helmert,64,4.3275070612797135,1.0330275226707328,0.005617993485897736,0.0
O_CRN,helmert,256,2.1714789345049743,0.5211959662553395,0.002811440732777095,0.0
O_CRN,raw_event,16,8.691495178838375,2.066140046525183,0.011247370303728327,0.0
O_CRN,raw_event,64,4.3275070612797135,1.0330275226707328,0.005617993485897736,0.0
O_CRN,raw_event,256,2.1714789345049743,0.5211959662553394,0.0028114407327770948,0.0
O_IND,helmert,16,84.6252693793845,15.056418843220627,0.1009417161180787,0.0
O_IND,helmert,64,42.53129965852456,7.564320200997145,0.050545320356415166,0.0
O_IND,helmert,256,21.363830719188414,3.797072350024914,0.025259393839127932,0.0
O_IND,raw_event,16,84.62526937938452,15.056418843220625,0.10094171611807869,0.0
O_IND,raw_event,64,42.53129965852456,7.564320200997144,0.050545320356415166,0.0
O_IND,raw_event,256,21.363830719188414,3.7970723500249135,0.025259393839127932,0.0
O_LR_MIX,helmert,16,0.6095345098950576,0.19649810425584996,0.000777428798105027,0.00207204660072424
O_LR_MIX,helmert,64,0.30517617755436094,0.09883415256680611,0.0003887092899861888,0.0010366158013534739
O_LR_MIX,helmert,256,0.1539249337192958,0.04935616789483205,0.0001940538273720816,0.0005200634420466667
O_LR_MIX,raw_event,16,0.3215158474917589,0.327775471148289,0.0009342010521543662,0.00207204660072424
O_LR_MIX,raw_event,64,0.16430902716041926,0.1642841071134243,0.00046717842640424444,0.0010366158013534739
O_LR_MIX,raw_event,256,0.08089334092594516,0.08267978123662144,0.00023358298718515822,0.0005200634420466667
O_LR_ORIGIN,helmert,16,0.5948867589979608,0.19217259358497762,0.0007657077017633816,0.002047685770601991
O_LR_ORIGIN,helmert,64,0.29617457333412534,0.09619167271780707,0.0003834998706911173,0.001025078452894291
O_LR_ORIGIN,helmert,256,0.1490189326706823,0.04862098587915206,0.0001917555644178432,0.0005132148511564691
O_LR_ORIGIN,raw_event,16,0.32582535753669123,0.32835293057576426,0.0009210710330832923,0.002047685770601991
O_LR_ORIGIN,raw_event,64,0.16439902471292586,0.16310523495313545,0.0004612442579391788,0.001025078452894291
O_LR_ORIGIN,raw_event,256,0.08163088156179531,0.08089208434823611,0.0002307206952154035,0.0005132148511564691
