role,configuration_id,method,observation,n,rank,alpha,eta,fit_banks,target,population,seed_count,seed_ids,unit_count,noise_replica_count,metric_row_count,actual_rank_min,actual_rank_max,k_min,k_max,metric_scope,group_index,pX_error_ss,pX_truth_ss,pX_nrmse,pX_nrmse_status,pX_mae,pX_error_q95,pX_max_abs_error,pX_scalar_error_count,pX_worst_group_by_mae,pX_worst_group_mae,pX_worst_group_by_q95,pX_worst_group_q95,v_error_ss,v_truth_ss,v_nrmse,v_nrmse_status,v_mae,v_error_q95,v_max_abs_error,v_scalar_error_count,v_worst_group_by_mae,v_worst_group_mae,v_worst_group_by_q95,v_worst_group_q95,pX_group_nrmse_unknown_count,pX_worst_defined_group_nrmse,pX_worst_defined_group_by_nrmse,v_group_nrmse_unknown_count,v_worst_defined_group_nrmse,v_worst_defined_group_by_nrmse,group_name,pX_q95_pp,v_q95_pp,pX_rmse,v_rmse,pX_signal_rms,v_signal_rms,pX_q95_times_tolerance,v_q95_times_tolerance
fresh_locked_test,C0|O_IND|16|0|0.01|0.01|8,C0,O_IND,16,0,0.01,0.01,8.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,0.0,0.0,pooled,,0.000788143599512,0.000788143599512,1.0,DEFINED,0.0001771576827984,0.0005708918232366,0.0008830267968632,11520,3.0,0.0001958985579616,3.0,0.0006136365721096,0.0231330023953591,0.0231330023953591,1.0,DEFINED,0.0009610336485386,0.0031847238544991,0.005085852768146,11520,3.0,0.0009913428022557,1.0,0.003187586265398,,,,,,,,0.057089182323660004,0.31847238544990997,0.00026156307654788443,0.0014170649683755308,0.00026156307654788443,0.0014170649683755308,4.5671345858928,25.4777908359928
fresh_locked_test,C0|O_IND|256|0|0.01|0.01|8,C0,O_IND,256,0,0.01,0.01,8.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,0.0,0.0,pooled,,0.000788143599512,0.000788143599512,1.0,DEFINED,0.0001771576827984,0.0005708918232366,0.0008830267968632,11520,3.0,0.0001958985579616,3.0,0.0006136365721096,0.0231330023953591,0.0231330023953591,1.0,DEFINED,0.0009610336485386,0.0031847238544991,0.005085852768146,11520,3.0,0.0009913428022557,1.0,0.003187586265398,,,,,,,,0.057089182323660004,0.31847238544990997,0.00026156307654788443,0.0014170649683755308,0.00026156307654788443,0.0014170649683755308,4.5671345858928,25.4777908359928
fresh_locked_test,C0|O_IND|64|0|0.01|0.01|8,C0,O_IND,64,0,0.01,0.01,8.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,0.0,0.0,pooled,,0.000788143599512,0.000788143599512,1.0,DEFINED,0.0001771576827984,0.0005708918232366,0.0008830267968632,11520,3.0,0.0001958985579616,3.0,0.0006136365721096,0.0231330023953591,0.0231330023953591,1.0,DEFINED,0.0009610336485386,0.0031847238544991,0.005085852768146,11520,3.0,0.0009913428022557,1.0,0.003187586265398,0.0,1.0,0.0,0.0,1.0,0.0,,0.057089182323660004,0.31847238544990997,0.00026156307654788443,0.0014170649683755308,0.00026156307654788443,0.0014170649683755308,4.5671345858928,25.4777908359928
fresh_locked_test,C1_LEGACY_EXACT_RULE|O_IND|16|1|0.01|0.01|8,C1_LEGACY_EXACT_RULE,O_IND,16,1,0.01,0.01,8.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,1.0,1.0,7.0,22.0,pooled,,0.5718742210874117,0.000788143599512,26.93689810325473,DEFINED,0.00330098994701,0.0144235921992871,0.0962129193208797,11520,4.0,0.003416821299879,5.0,0.0151281208379413,0.5326279243913896,0.0231330023953591,4.798394652760897,DEFINED,0.0031690025293744,0.0132186018830565,0.1010778657120635,11520,4.0,0.003326267827004,4.0,0.014375762025221,,,,,,,,1.44235921992871,1.32186018830565,0.007045697940544526,0.0067996369668679385,0.00026156307654788443,0.0014170649683755308,115.3887375942968,105.74881506445199
fresh_locked_test,C1_LEGACY_EXACT_RULE|O_IND|256|1|0.01|0.01|8,C1_LEGACY_EXACT_RULE,O_IND,256,1,0.01,0.01,8.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,1.0,1.0,7.0,22.0,pooled,,0.0377041238259119,0.000788143599512,6.916585502136782,DEFINED,0.0008560824046049,0.0037560452673295,0.0246548253539346,11520,0.0,0.0009097294493254,0.0,0.0042960479126646,0.0643253467726118,0.0231330023953591,1.667535416757078,DEFINED,0.0013485758759507,0.0049591529106242,0.0281276275328025,11520,3.0,0.0013897442471595,3.0,0.005204022899257,,,,,,,,0.37560452673295003,0.49591529106242,0.0018091233831454784,0.002363006022611946,0.00026156307654788443,0.0014170649683755308,30.048362138636,39.6732232849936
fresh_locked_test,C1_LEGACY_EXACT_RULE|O_IND|64|1|0.01|0.01|8,C1_LEGACY_EXACT_RULE,O_IND,64,1,0.01,0.01,8.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,1.0,1.0,7.0,22.0,pooled,,0.1328008661991541,0.000788143599512,12.980689969565589,DEFINED,0.0015533398215641,0.0068660773508103,0.0406336397541641,11520,0.0,0.001660553564616,2.0,0.0077330064468111,0.1421554584391243,0.0231330023953591,2.478938592629949,DEFINED,0.0018006420984447,0.0070357928538853,0.0387483731424879,11520,2.0,0.0018661725132601,1.0,0.0075247729174184,0.0,14.98595751207199,4.0,0.0,2.6848675337520977,2.0,,0.68660773508103,0.70357928538853,0.003395269204154005,0.003512817038370042,0.00026156307654788443,0.0014170649683755308,54.9286188064824,56.2863428310824
fresh_locked_test,C1_LEGACY_FROZEN|O_IND|16|0|0.01|0.01|8,C1_LEGACY_FROZEN,O_IND,16,0,0.01,0.01,8.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,7.0,22.0,pooled,,0.000788143599512,0.000788143599512,1.0,DEFINED,0.0001771576827984,0.0005708918232366,0.0008830267968632,11520,3.0,0.0001958985579616,3.0,0.0006136365721096,0.0231330023953591,0.0231330023953591,1.0,DEFINED,0.0009610336485386,0.0031847238544991,0.005085852768146,11520,3.0,0.0009913428022557,1.0,0.003187586265398,,,,,,,,0.057089182323660004,0.31847238544990997,0.00026156307654788443,0.0014170649683755308,0.00026156307654788443,0.0014170649683755308,4.5671345858928,25.4777908359928
fresh_locked_test,C1_LEGACY_FROZEN|O_IND|256|0|0.01|0.01|8,C1_LEGACY_FROZEN,O_IND,256,0,0.01,0.01,8.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,7.0,22.0,pooled,,0.000788143599512,0.000788143599512,1.0,DEFINED,0.0001771576827984,0.0005708918232366,0.0008830267968632,11520,3.0,0.0001958985579616,3.0,0.0006136365721096,0.0231330023953591,0.0231330023953591,1.0,DEFINED,0.0009610336485386,0.0031847238544991,0.005085852768146,11520,3.0,0.0009913428022557,1.0,0.003187586265398,,,,,,,,0.057089182323660004,0.31847238544990997,0.00026156307654788443,0.0014170649683755308,0.00026156307654788443,0.0014170649683755308,4.5671345858928,25.4777908359928
fresh_locked_test,C1_LEGACY_FROZEN|O_IND|64|0|0.01|0.01|8,C1_LEGACY_FROZEN,O_IND,64,0,0.01,0.01,8.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,0.0,7.0,22.0,pooled,,0.000788143599512,0.000788143599512,1.0,DEFINED,0.0001771576827984,0.0005708918232366,0.0008830267968632,11520,3.0,0.0001958985579616,3.0,0.0006136365721096,0.0231330023953591,0.0231330023953591,1.0,DEFINED,0.0009610336485386,0.0031847238544991,0.005085852768146,11520,3.0,0.0009913428022557,1.0,0.003187586265398,,,,,,,,0.057089182323660004,0.31847238544990997,0.00026156307654788443,0.0014170649683755308,0.00026156307654788443,0.0014170649683755308,4.5671345858928,25.4777908359928
fresh_locked_test,C3|O_LR_MIX|16|FULL|1e-05|0.01|2,C3,O_LR_MIX,16,FULL,1e-05,0.01,2.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,4.0,0.0,4.0,pooled,,0.0003476875597216,0.000788143599512,0.66418933753147,DEFINED,0.0001113084291461,0.0003906038330858,0.0009674336416094,11520,2.0,0.0001212714833372,2.0,0.0004189268930087,0.00557965696376,0.0231330023953591,0.4911201446678671,DEFINED,0.0004520010640645,0.0013798932011557,0.0033863062743078,11520,3.0,0.0004691402645188,2.0,0.001443871024977,,,,,,,,0.03906038330858,0.13798932011557,0.00017372740653503376,0.0006959491522723561,0.00026156307654788443,0.0014170649683755308,3.1248306646864,11.0391456092456
