method,n,proposal,case,event,units,four_event_total_mse,count,signed_bias,pooled_residual_population_variance,mse,mae,max_absolute,mean_within_unit_prompt_repeat_sample_variance,signed_q50,signed_q90,signed_q95,signed_q99,absolute_q50,absolute_q90,absolute_q95,absolute_q99
CROSSFIT_COV_ZERO_SUM,64,equal_pair_mixture,IDENTICAL_POLICY,X,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,64,equal_pair_mixture,IDENTICAL_POLICY,S,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,64,equal_pair_mixture,IDENTICAL_POLICY,W,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,64,equal_pair_mixture,IDENTICAL_POLICY,I,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,64,equal_pair_mixture,IDENTICAL_POLICY,delta_v,12,0.0,172800,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSSFIT_COV_ZERO_SUM,64,equal_pair_mixture,IDENTITY_HASH_SELECTED,X,12,4.3597195718730705e-07,172800,-4.0479282381652355e-07,1.603193495730743e-08,1.6032098814537642e-08,6.57258512711753e-05,0.001574334508187222,1.6036284932004798e-08,0.0,0.0001146815624497667,0.0001958828549863464,0.0003793761528567576,1.878497265810643e-05,0.00019859687526544993,0.00028765807039438524,0.000500399567847005
CROSSFIT_COV_ZERO_SUM,64,equal_pair_mixture,IDENTITY_HASH_SELECTED,S,12,4.3597195718730705e-07,172800,1.0382781128807258e-07,9.312180797044363e-08,9.312181875065801e-08,0.0001722742423314737,0.002944054446884346,9.310716332570595e-08,0.0,0.000319193955081329,0.0005143610248609508,0.0009213896356309098,6.0367053460709844e-05,0.0005200931072818384,0.0007065894483671649,0.0011049562846079965
CROSSFIT_COV_ZERO_SUM,64,equal_pair_mixture,IDENTITY_HASH_SELECTED,W,12,4.3597195718730705e-07,172800,-4.077461859961142e-07,1.1763658437335805e-07,1.1763675063031025e-07,0.00020632796657615136,0.00286908290384343,1.1766884085790711e-07,0.0,0.000387365579660592,0.0005923401488454483,0.0010153334069980737,9.257065737109022e-05,0.0005921211369179042,0.0007720762970166436,0.0011546350993231526
CROSSFIT_COV_ZERO_SUM,64,equal_pair_mixture,IDENTITY_HASH_SELECTED,I,12,4.3597195718730705e-07,172800,7.087111985229698e-07,2.0918078672023833e-07,2.091812889918012e-07,0.00028001439668713554,0.004148568289513202,2.0922772336741134e-07,0.0,0.0005346444143393332,0.0007423202445633829,0.0012335957755204136,0.00013219670601284384,0.0007737380244201267,0.0010190315835124967,0.0015322078946773086
CROSSFIT_COV_ZERO_SUM,64,equal_pair_mixture,IDENTITY_HASH_SELECTED,delta_v,12,4.3597195718730705e-07,172800,-7.087111985229698e-07,2.0918078672023833e-07,2.091812889918012e-07,0.00028001439668713554,0.004148568289513202,2.0922772336741134e-07,-0.0,0.000529321147284229,0.0008099638136741554,0.0013927848144923225,0.00013219670601284384,0.0007737380244201267,0.0010190315835124967,0.0015322078946773086
